C, r, R, R, R, R, L, L, R, L, L, R		 at 	-0.093561934	
C, r, R, R, R, R, L, L, R, L, L, R	0	 at 	-0.093562248			PREZERO after 12 iterates
C, r, R, R, R, R, L, L, R, L, L, L	0	 at 	-0.093562562			PREZERO after 12 iterates
C, r, R, R, R, R, L, L, R, L, L, L		 at 	-0.093562876	
C, r, R, R, R, R, L, L, R, L, R, L		 at 	-0.093565231	
C, r, R, R, R, R, L, L, R, L, R, L	0	 at 	-0.093565388			PREZERO after 12 iterates
C, r, R, R, R, R, L, L, R, L, R, R	0	 at 	-0.093565859			PREZERO after 12 iterates
C, r, R, R, R, R, L, L, R, L, R, R		 at 	-0.09356633	
C, r, R, R, R, R, L, L, L, L, R, R		 at 	-0.093592706	
C, r, R, R, R, R, L, L, L, L, R, R	0	 at 	-0.09359302			PREZERO after 12 iterates
C, r, R, R, R, R, L, L, L, L, R, L	0	 at 	-0.093593491			PREZERO after 12 iterates
C, r, R, R, R, R, L, L, L, L, R, L		 at 	-0.093593648	
C, r, R, R, R, R, L, L, L, L, L, L		 at 	-0.093595532	
C, r, R, R, R, R, L, L, L, L, L, R	0	 at 	-0.093595846			PREZERO after 12 iterates
C, r, R, R, R, R, L, L, L, L, L, R		 at 	-0.093596003	
C, r, R, R, R, R, L, L, L, R, L, R		 at 	-0.093602754	
C, r, R, R, R, R, L, L, L, R, L, R	0	 at 	-0.093602911			PREZERO after 12 iterates
C, r, R, R, R, R, L, L, L, R, L, L	0	 at 	-0.093603382			PREZERO after 12 iterates
C, r, R, R, R, R, L, L, L, R, L, L		 at 	-0.093603539	
C, r, R, R, R, R, L, L, L, R, R, L		 at 	-0.093606051	
C, r, R, R, R, R, L, L, L, R, R, L	0	 at 	-0.093606365			PREZERO after 12 iterates
C, r, R, R, R, R, L, L, L, R, R, R	0	 at 	-0.093606993			PREZERO after 12 iterates
C, r, R, R, R, R, L, L, L, R, R, R		 at 	-0.093607464	
C, r, R, R, R, R, L, R, L, R, R, R		 at 	-0.093709514	
C, r, R, R, R, R, L, R, L, R, R, R	0	 at 	-0.093710142			PREZERO after 12 iterates
C, r, R, R, R, R, L, R, L, R, R, L	0	 at 	-0.093710927			PREZERO after 12 iterates
C, r, R, R, R, R, L, R, L, R, R, L		 at 	-0.093711241	
C, r, R, R, R, R, L, R, L, R, L, L		 at 	-0.093714224	
C, r, R, R, R, R, L, R, L, R, L, L	0	 at 	-0.093714381			PREZERO after 12 iterates
C, r, R, R, R, R, L, R, L, R, L, R	0	 at 	-0.093714852			PREZERO after 12 iterates
C, r, R, R, R, R, L, R, L, R, L, R		 at 	-0.093715166	
C, r, R, R, R, R, L, R, L, L, L, R		 at 	-0.093723173	
C, r, R, R, R, R, L, R, L, L, L, R	0	 at 	-0.09372333			PREZERO after 12 iterates
C, r, R, R, R, R, L, R, L, L, L, L	0	 at 	-0.093723644			PREZERO after 12 iterates
C, r, R, R, R, R, L, R, L, L, L, L		 at 	-0.093723801	
C, r, R, R, R, R, L, R, L, L, R, L		 at 	-0.093725999	
C, r, R, R, R, R, L, R, L, L, R, L	0	 at 	-0.093726313			PREZERO after 12 iterates
