C, r, R, R, R, R, R, R, L, R, R, R, R, R, R, L		 at 	-0.092698277	
C, r, R, R, R, R, R, R, L, R, R, R, R, R, R, R		 at 	-0.092698434	
C, r, R, R, R, R, R, R, r, R, R, R, R, R, R, R		 at 	-0.092816341	
C, r, R, R, R, R, R, R, r, R, R, R, R, R, R, R	0	 at 	-0.092817283			PREZERO after 16 iterates
C, r, R, R, R, R, R, R, r, R, R, R, R, R, R, L	0	 at 	-0.092818539			PREZERO after 16 iterates
C, r, R, R, R, R, R, R, r, R, R, R, R, R, R, L		 at 	-0.092819324	
C, r, R, R, R, R, R, L, r, R, R, R, R, R, R, L		 at 	-0.092832041	
C, r, R, R, R, R, R, L, r, R, R, R, R, R, R, L	0	 at 	-0.092832669			PREZERO after 16 iterates
C, r, R, R, R, R, R, L, r, R, R, R, R, R, R, R	0	 at 	-0.092833925			PREZERO after 16 iterates
C, r, R, R, R, R, R, L, r, R, R, R, R, R, R, R		 at 	-0.092834867	
C, r, R, R, R, R, R, L, L, R, R, R, R, R, R, R		 at 	-0.092925927	
C, r, R, R, R, R, R, L, L, R, R, R, R, R, R, L		 at 	-0.092926084	
C, r, R, R, R, R, R, L, L, R, R, R, R, L, r, R		 at 	-0.092926555	
C, r, R, R, R, R, R, L, L, R, R, R, R, L, L, R		 at 	-0.092926712	
C, r, R, R, R, R, R, L, L, R, R, L, L, R, R, R		 at 	-0.092929538	
C, r, R, R, R, R, R, L, L, R, R, L, L, R, R, L	0	 at 	-0.092929695			PREZERO after 16 iterates
C, r, R, R, R, R, R, L, L, R, R, L, L, L, L, R		 at 	-0.092929852	
C, r, R, R, R, R, R, L, L, R, L, R, R, r, R, R		 at 	-0.092936603	
C, r, R, R, R, R, R, L, L, R, L, R, R, L, L, L	0	 at 	-0.09293676			PREZERO after 16 iterates
C, r, R, R, R, R, R, L, L, R, L, R, R, R, L, L		 at 	-0.092936917	
C, r, R, R, R, R, R, L, L, R, r, R, R, R, R, R		 at 	-0.092942883	
C, r, R, R, R, R, R, L, L, L, r, R, R, R, R, R		 at 	-0.092943354	
C, r, R, R, R, R, R, L, L, L, R, R, L, R, R, R		 at 	-0.092954815	
C, r, R, R, R, R, R, L, L, L, R, R, L, R, R, R		 at 	-0.092954972	
C, r, R, R, R, R, R, L, L, r, R, R, R, R, R, R		 at 	-0.09297601	
C, r, R, R, R, R, R, L, L, r, R, R, R, R, R, R	0	 at 	-0.092976324			PREZERO after 16 iterates
C, r, R, R, R, R, R, L, L, r, R, R, R, R, R, L	0	 at 	-0.092977109			PREZERO after 16 iterates
C, r, R, R, R, R, R, L, R, r, R, R, R, R, R, L	0	 at 	-0.092978836			PREZERO after 16 iterates
C, r, R, R, R, R, R, L, R, r, R, R, R, R, R, R	0	 at 	-0.092979621			PREZERO after 16 iterates
C, r, R, R, R, R, R, L, R, r, R, R, R, R, R, R		 at 	-0.092980092	
C, r, R, R, R, R, R, L, R, L, L, R, r, R, R, R		 at 	-0.093009451	
C, r, R, R, R, R, R, L, R, L, L, R, L, R, R, R		 at 	-0.093009608	
C, r, R, R, R, R, R, L, R, L, L, R, R, r, R, R		 at 	-0.093009922	
C, r, R, R, R, R, R, L, R, L, L, R, R, L, R, L		 at 	-0.093010079	
C, r, R, R, R, R, R, L, R, L, r, R, R, R, R, R		 at 	-0.09301683	
C, r, R, R, R, R, R, L, R, R, r, R, R, R, R, R		 at 	-0.093017772	
C, r, R, R, R, R, R, L, R, R, L, R, R, R, R, R		 at 	-0.093025622	
C, r, R, R, R, R, R, L, R, R, L, R, R, R, L, L		 at 	-0.093025779	
C, r, R, R, R, R, R, L, R, R, L, R, L, L, L, R		 at 	-0.093026564	
C, r, R, R, R, R, R, L, R, R, L, R, L, R, R, L		 at 	-0.093026721	
C, r, R, R, R, R, R, L, R, R, R, L, R, R, r, R		 at 	-0.093035199	
C, r, R, R, R, R, R, L, R, R, R, L, R, L, R, L		 at 	-0.093035356	
C, r, R, R, R, R, R, L, R, R, R, R, L, L, r, R		 at 	-0.093039281	
C, r, R, R, R, R, R, L, R, R, R, R, L, L, R, L		 at 	-0.093039438	
C, r, R, R, R, R, R, L, R, R, R, R, R, L, R, R		 at 	-0.093040537	
C, r, R, R, R, R, R, L, R, R, R, R, R, L, R, R		 at 	-0.093040694	
C, r, R, R, R, R, R, L, R, R, R, R, R, R, R, L		 at 	-0.093041793	
C, r, R, R, R, R, R, L, R, R, R, R, R, R, R, R		 at 	-0.09304195	
C, r, R, R, R, R, R, r, R, R, R, R, R, R, R, R		 at 	-0.09328844	
C, r, R, R, R, R, R, r, R, R, R, R, R, R, R, R	0	 at 	-0.093289068			PREZERO after 16 iterates
C, r, R, R, R, R, R, r, R, R, R, R, R, R, R, L	0	 at 	-0.093289696			PREZERO after 16 iterates
C, r, R, R, R, R, R, r, R, R, R, R, R, R, R, L		 at 	-0.09329001	
C, r, R, R, R, R, R, r, R, R, R, R, R, R, L, L		 at 	-0.093292679	
C, r, R, R, R, R, R, r, R, R, R, R, R, R, L, L	0	 at 	-0.093292836			PREZERO after 16 iterates
C, r, R, R, R, R, R, r, R, R, R, R, R, R, L, R	0	 at 	-0.093293307			PREZERO after 16 iterates
C, r, R, R, R, R, R, r, R, R, R, R, R, R, L, R		 at 	-0.093293464	
C, r, R, R, R, R, R, r, R, R, R, R, R, L, L, R		 at 	-0.093299744	
C, r, R, R, R, R, R, r, R, R, R, R, R, L, L, R	0	 at 	-0.093299901			PREZERO after 16 iterates
C, r, R, R, R, R, R, r, R, R, R, R, R, L, L, R	0	 at 	-0.093300058			PREZERO after 16 iterates
C, r, R, R, R, R, R, r, R, R, R, R, R, L, L, L		 at 	-0.093300215	
C, r, R, R, R, R, R, r, R, R, R, R, R, L, R, L		 at 	-0.093301942	
C, r, R, R, R, R, R, r, R, R, R, R, R, L, R, L	0	 at 	-0.093302099			PREZERO after 16 iterates
C, r, R, R, R, R, R, r, R, R, R, R, R, L, R, R	0	 at 	-0.093302413			PREZERO after 16 iterates
C, r, R, R, R, R, R, r, R, R, R, R, R, L, R, R		 at 	-0.093302727	
C, r, R, R, R, R, L, r, R, R, R, R, R, L, R, R		 at 	-0.093340878	
C, r, R, R, R, R, L, r, R, R, R, R, R, L, R, R	0	 at 	-0.093341035			PREZERO after 16 iterates
C, r, R, R, R, R, L, r, R, R, R, R, R, L, R, L	0	 at 	-0.093341506			PREZERO after 16 iterates
C, r, R, R, R, R, L, r, R, R, R, R, R, L, R, L		 at 	-0.093341663	
C, r, R, R, R, R, L, r, R, R, R, R, R, L, L, L		 at 	-0.093343233	
C, r, R, R, R, R, L, r, R, R, R, R, R, L, L, L	0	 at 	-0.09334339			PREZERO after 16 iterates
C, r, R, R, R, R, L, r, R, R, R, R, R, L, L, L	0	 at 	-0.093343547			PREZERO after 16 iterates
C, r, R, R, R, R, L, r, R, R, R, R, R, L, L, R		 at 	-0.093343704	
C, r, R, R, R, R, L, r, R, R, R, R, R, R, L, R		 at 	-0.09334967	
C, r, R, R, R, R, L, r, R, R, R, R, R, R, L, R	0	 at 	-0.093349984			PREZERO after 16 iterates
C, r, R, R, R, R, L, r, R, R, R, R, R, R, L, L	0	 at 	-0.093350298			PREZERO after 16 iterates
C, r, R, R, R, R, L, r, R, R, R, R, R, R, L, L		 at 	-0.093350455	
C, r, R, R, R, R, L, r, R, R, R, R, R, R, R, L		 at 	-0.093352967	
C, r, R, R, R, R, L, r, R, R, R, R, R, R, R, L	0	 at 	-0.093353281			PREZERO after 16 iterates
C, r, R, R, R, R, L, r, R, R, R, R, R, R, R, R	0	 at 	-0.093353909			PREZERO after 16 iterates
C, r, R, R, R, R, L, r, R, R, R, R, R, R, R, R		 at 	-0.09335438	
C, r, R, R, R, R, L, L, R, R, R, R, R, R, R, R		 at 	-0.093542623	
C, r, R, R, R, R, L, L, R, R, R, R, R, R, R, R		 at 	-0.09354278	
C, r, R, R, R, R, L, L, R, R, R, L, R, r, R, R		 at 	-0.093546705	
C, r, R, R, R, R, L, L, R, R, R, L, R, L, L, R		 at 	-0.093546862	
C, r, R, R, R, R, L, L, R, R, R, r, R, R, R, R		 at 	-0.093548903	
C, r, R, R, R, R, L, L, R, R, L, r, R, R, R, R		 at 	-0.093549217	
C, r, R, R, R, R, L, L, R, R, r, R, R, R, R, R		 at 	-0.093557067	
C, r, R, R, R, R, L, L, R, R, r, R, R, R, R, R	0	 at 	-0.093557224			PREZERO after 16 iterates
C, r, R, R, R, R, L, L, R, R, r, R, R, R, R, L	0	 at 	-0.093557381			PREZERO after 16 iterates
C, r, R, R, R, R, L, L, R, L, r, R, R, R, R, L	0	 at 	-0.093557695			PREZERO after 16 iterates
C, r, R, R, R, R, L, L, R, L, r, R, R, R, R, R	0	 at 	-0.093558009			PREZERO after 16 iterates
C, r, R, R, R, R, L, L, R, L, r, R, R, R, R, R		 at 	-0.093558166	
C, r, R, R, R, R, L, L, R, L, L, r, R, R, R, R		 at 	-0.093563818	
C, r, R, R, R, R, L, L, R, L, L, r, R, R, R, R		 at 	-0.093563975	
C, r, R, R, R, R, L, L, R, L, R, L, R, r, R, R		 at 	-0.093565231	
C, r, R, R, R, R, L, L, R, L, R, L, L, R, L, L		 at 	-0.093565388	
C, r, R, R, R, R, L, L, R, L, R, R, R, R, r, R		 at 	-0.093566644	
C, r, R, R, R, R, L, L, R, L, R, R, R, R, R, R		 at 	-0.093566801	
C, r, R, R, R, R, L, L, R, r, R, R, R, R, R, R		 at 	-0.093578419	
C, r, R, R, R, R, L, L, R, r, R, R, R, R, R, R	0	 at 	-0.093578576			PREZERO after 16 iterates
C, r, R, R, R, R, L, L, R, r, R, R, R, R, R, R	0	 at 	-0.093578733			PREZERO after 16 iterates
C, r, R, R, R, R, L, L, R, r, R, R, R, R, R, L		 at 	-0.09357889	
C, r, R, R, R, R, L, L, L, r, R, R, R, R, R, L		 at 	-0.093581716	
C, r, R, R, R, R, L, L, L, r, R, R, R, R, R, L	0	 at 	-0.093581873			PREZERO after 16 iterates
C, r, R, R, R, R, L, L, L, r, R, R, R, R, R, R		 at 	-0.09358203	
C, r, R, R, R, R, L, L, L, L, R, L, L, L, L, R		 at 	-0.093593648	
C, r, R, R, R, R, L, L, L, L, R, L, R, L, L, R		 at 	-0.093593805	
C, r, R, R, R, R, L, L, L, L, r, R, R, R, R, R		 at 	-0.093598829	
C, r, R, R, R, R, L, L, L, L, r, R, R, R, R, R	0	 at 	-0.093598986			PREZERO after 16 iterates
C, r, R, R, R, R, L, L, L, L, r, R, R, R, R, L	0	 at 	-0.093599143			PREZERO after 16 iterates
C, r, R, R, R, R, L, L, L, R, r, R, R, R, R, L	0	 at 	-0.0935993			PREZERO after 16 iterates
C, r, R, R, R, R, L, L, L, R, r, R, R, R, R, L	0	 at 	-0.093599457			PREZERO after 16 iterates
C, r, R, R, R, R, L, L, L, R, r, R, R, R, R, R		 at 	-0.093599614	
C, r, R, R, R, R, L, L, L, R, L, r, R, R, R, R		 at 	-0.093604638	
C, r, R, R, R, R, L, L, L, R, R, r, R, R, R, R		 at 	-0.093604795	
C, r, R, R, R, R, L, L, L, R, R, L, R, R, R, R		 at 	-0.093605894	
C, r, R, R, R, R, L, L, L, R, R, L, R, L, R, R		 at 	-0.093606051	
C, r, R, R, R, R, L, L, r, R, R, R, R, R, R, R		 at 	-0.093648912	
C, r, R, R, R, R, L, L, r, R, R, R, R, R, R, R	0	 at 	-0.093649226			PREZERO after 16 iterates
C, r, R, R, R, R, L, L, r, R, R, R, R, R, R, R	0	 at 	-0.093649383			PREZERO after 16 iterates
C, r, R, R, R, R, L, L, r, R, R, R, R, R, R, L		 at 	-0.09364954	
C, r, R, R, R, R, L, L, r, R, R, R, R, R, L, L		 at 	-0.093650639	
C, r, R, R, R, R, L, L, r, R, R, R, R, R, L, L	0	 at 	-0.093650796			PREZERO after 16 iterates
C, r, R, R, R, R, L, L, r, R, R, R, R, R, L, R		 at 	-0.093650953	
C, r, R, R, R, R, L, L, r, R, R, R, R, L, L, R		 at 	-0.093654407	
C, r, R, R, R, R, L, L, r, R, R, R, R, L, L, R	0	 at 	-0.093654564			PREZERO after 16 iterates
C, r, R, R, R, R, L, L, r, R, R, R, R, L, L, R	0	 at 	-0.093654721			PREZERO after 16 iterates
C, r, R, R, R, R, L, L, r, R, R, R, R, L, L, L		 at 	-0.093654878	
C, r, R, R, R, R, L, R, r, R, R, R, R, L, L, L		 at 	-0.093658332	
C, r, R, R, R, R, L, R, r, R, R, R, R, L, L, L	0	 at 	-0.093658489			PREZERO after 16 iterates
C, r, R, R, R, R, L, R, r, R, R, R, R, L, L, R	0	 at 	-0.093658803			PREZERO after 16 iterates
C, r, R, R, R, R, L, R, r, R, R, R, R, L, L, R		 at 	-0.09365896	
C, r, R, R, R, R, L, R, r, R, R, R, R, R, L, R		 at 	-0.093662414	
C, r, R, R, R, R, L, R, r, R, R, R, R, R, L, R	0	 at 	-0.093662571			PREZERO after 16 iterates
C, r, R, R, R, R, L, R, r, R, R, R, R, R, L, L		 at 	-0.093662728	
C, r, R, R, R, R, L, R, r, R, R, R, R, R, R, L		 at 	-0.093663827	
C, r, R, R, R, R, L, R, r, R, R, R, R, R, R, L	0	 at 	-0.093663984			PREZERO after 16 iterates
C, r, R, R, R, R, L, R, r, R, R, R, R, R, R, L	0	 at 	-0.093664141			PREZERO after 16 iterates
C, r, R, R, R, R, L, R, r, R, R, R, R, R, R, R		 at 	-0.093664455	
C, r, R, R, R, R, L, R, L, R, R, R, R, R, R, R		 at 	-0.093708729	
C, r, R, R, R, R, L, R, L, R, R, R, R, R, R, R	0	 at 	-0.093708886			PREZERO after 16 iterates
C, r, R, R, R, R, L, R, L, R, R, R, R, R, L, R		 at 	-0.093709043	
C, r, R, R, R, R, L, R, L, R, R, L, r, R, R, R		 at 	-0.093710927	
C, r, R, R, R, R, L, R, L, R, R, L, L, R, L, R		 at 	-0.093711084	
C, r, R, R, R, R, L, R, L, R, R, L, L, r, R, R		 at 	-0.093711241	
C, r, R, R, R, R, L, R, L, R, R, L, R, L, R, L	0	 at 	-0.093711398			PREZERO after 16 iterates
C, r, R, R, R, R, L, R, L, R, R, L, R, R, R, R		 at 	-0.093711555	
C, r, R, R, R, R, L, R, L, R, R, r, R, R, R, R		 at 	-0.093712811	
C, r, R, R, R, R, L, R, L, R, L, r, R, R, R, R		 at 	-0.093712968	
C, r, R, R, R, R, L, R, L, R, L, L, R, R, R, R		 at 	-0.093714067	
C, r, R, R, R, R, L, R, L, R, L, L, R, L, R, R		 at 	-0.093714224	
C, r, R, R, R, R, L, R, L, R, L, R, R, L, R, r		 at 	-0.093715323	
C, r, R, R, R, R, L, R, L, R, L, R, R, R, R, L		 at 	-0.09371548	
C, r, R, R, R, R, L, R, L, R, r, R, R, R, R, R		 at 	-0.093718777	
C, r, R, R, R, R, L, R, L, R, r, R, R, R, R, R	0	 at 	-0.093718934			PREZERO after 16 iterates
C, r, R, R, R, R, L, R, L, R, r, R, R, R, R, L		 at 	-0.093719091	
C, r, R, R, R, R, L, R, L, L, r, R, R, R, R, L		 at 	-0.093719405	
C, r, R, R, R, R, L, R, L, L, r, R, R, R, R, L	0	 at 	-0.093719562			PREZERO after 16 iterates
C, r, R, R, R, R, L, R, L, L, r, R, R, R, R, R		 at 	-0.093719719	
C, r, R, R, R, R, L, R, L, L, L, R, R, r, R, R		 at 	-0.093723173	
C, r, R, R, R, R, L, R, L, L, L, R, L, R, R, R		 at 	-0.09372333	
C, r, R, R, R, R, L, R, L, L, L, r, R, R, R, R		 at 	-0.093724743	
C, r, R, R, R, R, L, R, L, L, L, r, R, R, R, R		 at 	-0.0937249	
C, r, R, R, R, R, L, R, L, r, R, R, R, R, R, R		 at 	-0.093740443	
C, r, R, R, R, R, L, R, L, r, R, R, R, R, R, L		 at 	-0.093740757	
C, r, R, R, R, R, L, R, L, r, R, R, R, R, L, L		 at 	-0.093741856	
C, r, R, R, R, R, L, R, L, r, R, R, R, R, L, L	0	 at 	-0.093742013			PREZERO after 16 iterates
C, r, R, R, R, R, L, R, L, r, R, R, R, R, L, R	0	 at 	-0.093742327			PREZERO after 16 iterates
C, r, R, R, R, R, L, R, R, r, R, R, R, R, L, R	0	 at 	-0.093743426			PREZERO after 16 iterates
C, r, R, R, R, R, L, R, R, r, R, R, R, R, L, L	0	 at 	-0.09374374			PREZERO after 16 iterates
C, r, R, R, R, R, L, R, R, r, R, R, R, R, L, L		 at 	-0.093743897	
