C, r, R, R, R, R, R, R, L, L, L, R, R, L		 at 	-0.092658556	
C, r, R, R, R, R, R, R, L, L, L, R, R, L	0	 at 	-0.092658713			PREZERO after 14 iterates
C, r, R, R, R, R, R, R, L, L, L, R, R, R		 at 	-0.09265887	
C, r, R, R, R, R, R, R, L, R, L, R, R, R		 at 	-0.092680065	
C, r, R, R, R, R, R, R, L, R, L, R, R, R	0	 at 	-0.092680222			PREZERO after 14 iterates
C, r, R, R, R, R, R, R, L, R, L, R, R, R	0	 at 	-0.092680379			PREZERO after 14 iterates
C, r, R, R, R, R, R, R, L, R, L, R, R, L		 at 	-0.092680536	
C, r, R, R, R, R, R, R, L, R, L, R, L, L		 at 	-0.092681164	
C, r, R, R, R, R, R, R, L, R, L, R, L, R		 at 	-0.092681321	
C, r, R, R, R, R, R, R, L, R, L, L, L, R		 at 	-0.092683048	
C, r, R, R, R, R, R, R, L, R, L, L, L, L		 at 	-0.092683205	
C, r, R, R, R, R, R, R, L, R, L, L, R, L		 at 	-0.092683676	
C, r, R, R, R, R, R, R, L, R, L, L, R, R		 at 	-0.092683833	
C, r, R, R, R, R, R, R, L, R, R, L, R, R		 at 	-0.092691055	
C, r, R, R, R, R, R, R, L, R, R, L, R, R	0	 at 	-0.092691212			PREZERO after 14 iterates
C, r, R, R, R, R, R, R, L, R, R, L, R, L		 at 	-0.092691369	
C, r, R, R, R, R, R, R, L, R, R, L, L, r		 at 	-0.092691997	
C, r, R, R, R, R, R, R, L, R, R, L, L, L	0	 at 	-0.092692154			PREZERO after 14 iterates
C, r, R, R, R, R, R, R, L, R, R, L, L, R		 at 	-0.092692311	
C, r, R, R, R, R, R, R, L, R, R, R, L, R		 at 	-0.092695294	
C, r, R, R, R, R, R, R, L, R, R, R, L, R	0	 at 	-0.092695451			PREZERO after 14 iterates
C, r, R, R, R, R, R, R, L, R, R, R, L, R	0	 at 	-0.092695608			PREZERO after 14 iterates
C, r, R, R, R, R, R, R, L, R, R, R, L, L		 at 	-0.092695765	
C, r, R, R, R, R, R, R, L, R, R, R, R, L		 at 	-0.092697178	
C, r, R, R, R, R, R, R, L, R, R, R, R, L	0	 at 	-0.092697335			PREZERO after 14 iterates
C, r, R, R, R, R, R, R, L, R, R, R, R, R	0	 at 	-0.092697806			PREZERO after 14 iterates
C, r, R, R, R, R, R, R, L, R, R, R, R, R		 at 	-0.09269812	
C, r, R, R, R, R, R, R, r, R, R, R, R, R		 at 	-0.092825604	
C, r, R, R, R, R, R, L, r, R, R, R, R, R		 at 	-0.092825761	
C, r, R, R, R, R, R, L, L, R, R, R, R, R		 at 	-0.092926084	
C, r, R, R, R, R, R, L, L, R, R, R, R, R	0	 at 	-0.092926398			PREZERO after 14 iterates
C, r, R, R, R, R, R, L, L, R, R, R, R, L	0	 at 	-0.092926555			PREZERO after 14 iterates
C, r, R, R, R, R, R, L, L, R, R, R, R, L		 at 	-0.092926712	
C, r, R, R, R, R, R, L, L, R, R, R, L, r		 at 	-0.092927497	
C, r, R, R, R, R, R, L, L, R, R, R, L, L	0	 at 	-0.092927654			PREZERO after 14 iterates
C, r, R, R, R, R, R, L, L, R, R, R, L, R		 at 	-0.092927811	
C, r, R, R, R, R, R, L, L, R, R, L, L, R		 at 	-0.092929695	
C, r, R, R, R, R, R, L, L, R, R, L, L, L		 at 	-0.092929852	
C, r, R, R, R, R, R, L, L, R, R, L, R, r		 at 	-0.092930166	
C, r, R, R, R, R, R, L, L, R, R, L, R, R		 at 	-0.09293048	
C, r, R, R, R, R, R, L, L, R, L, L, R, R		 at 	-0.092934719	
C, r, R, R, R, R, R, L, L, R, L, L, R, L		 at 	-0.092934876	
C, r, R, R, R, R, R, L, L, R, L, L, R, r		 at 	-0.092935033	
C, r, R, R, R, R, R, L, L, R, L, L, L, L		 at 	-0.09293519	
C, r, R, R, R, R, R, L, L, R, L, R, L, R		 at 	-0.092936132	
C, r, R, R, R, R, R, L, L, R, L, R, L, R		 at 	-0.092936289	
C, r, R, R, R, R, R, L, L, R, L, R, R, r		 at 	-0.092936603	
C, r, R, R, R, R, R, L, L, R, L, R, R, R		 at 	-0.092936917	
C, r, R, R, R, R, R, L, L, L, L, R, R, R		 at 	-0.092948692	
C, r, R, R, R, R, R, L, L, L, L, R, R, L		 at 	-0.092949006	
C, r, R, R, R, R, R, L, L, L, L, R, R, r		 at 	-0.092949163	
C, r, R, R, R, R, R, L, L, L, L, R, L, L		 at 	-0.09294932	
C, r, R, R, R, R, R, L, L, L, R, L, R, R		 at 	-0.092953402	
C, r, R, R, R, R, R, L, L, L, R, L, R, L		 at 	-0.092953559	
C, r, R, R, R, R, R, L, L, L, R, L, R, r		 at 	-0.092953716	
C, r, R, R, R, R, R, L, L, L, R, L, L, L		 at 	-0.092953873	
C, r, R, R, R, R, R, L, L, L, R, R, L, R		 at 	-0.092954972	
C, r, R, R, R, R, R, L, L, L, R, R, L, L		 at 	-0.092955129	
C, r, R, R, R, R, R, L, L, L, R, R, R, L		 at 	-0.0929556	
C, r, R, R, R, R, R, L, L, L, R, R, R, R		 at 	-0.092955757	
C, r, R, R, R, R, R, L, R, L, R, R, R, R		 at 	-0.093001758	
C, r, R, R, R, R, R, L, R, L, R, R, R, R	0	 at 	-0.093001915			PREZERO after 14 iterates
C, r, R, R, R, R, R, L, R, L, R, R, R, R	0	 at 	-0.093002072			PREZERO after 14 iterates
C, r, R, R, R, R, R, L, R, L, R, R, R, L		 at 	-0.093002229	
C, r, R, R, R, R, R, L, R, L, R, R, L, r		 at 	-0.0930027	
C, r, R, R, R, R, R, L, R, L, R, R, L, L		 at 	-0.093002857	
C, r, R, R, R, R, R, L, R, L, R, L, L, R		 at 	-0.093004113	
C, r, R, R, R, R, R, L, R, L, R, L, L, L		 at 	-0.09300427	
C, r, R, R, R, R, R, L, R, L, R, L, R, L		 at 	-0.093004584	
C, r, R, R, R, R, R, L, R, L, R, L, R, R		 at 	-0.093004741	
C, r, R, R, R, R, R, L, R, L, L, L, R, R		 at 	-0.093008195	
C, r, R, R, R, R, R, L, R, L, L, L, R, L		 at 	-0.093008352	
C, r, R, R, R, R, R, L, R, L, L, L, R, r		 at 	-0.093008509	
C, r, R, R, R, R, R, L, R, L, L, L, L, L		 at 	-0.093008666	
C, r, R, R, R, R, R, L, R, L, L, R, R, L		 at 	-0.093010079	
C, r, R, R, R, R, R, L, R, L, L, R, R, R		 at 	-0.093010236	
C, r, R, R, R, R, R, L, R, R, L, R, R, R		 at 	-0.093025622	
C, r, R, R, R, R, R, L, R, R, L, R, R, R	0	 at 	-0.093025779			PREZERO after 14 iterates
C, r, R, R, R, R, R, L, R, R, L, R, R, L		 at 	-0.093025936	
C, r, R, R, R, R, R, L, R, R, L, R, L, r		 at 	-0.093026407	
C, r, R, R, R, R, R, L, R, R, L, R, L, L		 at 	-0.093026564	
C, r, R, R, R, R, R, L, R, R, L, L, L, R		 at 	-0.093027977	
C, r, R, R, R, R, R, L, R, R, L, L, L, L		 at 	-0.093028134	
C, r, R, R, R, R, R, L, R, R, L, L, R, r		 at 	-0.093028448	
C, r, R, R, R, R, R, L, R, R, L, L, R, R		 at 	-0.093028762	
C, r, R, R, R, R, R, L, R, R, R, L, R, R		 at 	-0.093034885	
C, r, R, R, R, R, R, L, R, R, R, L, R, R	0	 at 	-0.093035042			PREZERO after 14 iterates
C, r, R, R, R, R, R, L, R, R, R, L, R, R		 at 	-0.093035199	
C, r, R, R, R, R, R, L, R, R, R, L, L, r		 at 	-0.093035827	
C, r, R, R, R, R, R, L, R, R, R, L, L, R		 at 	-0.093036141	
C, r, R, R, R, R, R, L, R, R, R, R, L, R		 at 	-0.093038967	
C, r, R, R, R, R, R, L, R, R, R, R, L, R	0	 at 	-0.093039124			PREZERO after 14 iterates
C, r, R, R, R, R, R, L, R, R, R, R, L, L		 at 	-0.093039281	
C, r, R, R, R, R, R, L, R, R, R, R, R, L		 at 	-0.093040694	
C, r, R, R, R, R, R, L, R, R, R, R, R, L	0	 at 	-0.093040851			PREZERO after 14 iterates
