C, r, R, R, L, L, R, L, L, R		 at 	-0.098219967	
C, r, R, R, L, L, R, L, L, R	0	 at 	-0.098221066			PREZERO after 10 iterates
C, r, R, R, L, L, R, L, L, L	0	 at 	-0.098222793			PREZERO after 10 iterates
C, r, R, R, L, L, R, L, L, L		 at 	-0.098223578	
C, r, R, R, L, L, R, L, R, L		 at 	-0.098234725	
C, r, R, R, L, L, R, L, R, L	0	 at 	-0.098235824			PREZERO after 10 iterates
C, r, R, R, L, L, R, L, R, R	0	 at 	-0.098238179			PREZERO after 10 iterates
C, r, R, R, L, L, R, L, R, R		 at 	-0.098239749	
C, r, R, R, L, L, R, r, R, R		 at 	-0.09829988	
C, r, R, R, L, L, L, r, R, R		 at 	-0.098321075	
C, r, R, R, L, L, L, L, R, R		 at 	-0.098373199	
C, r, R, R, L, L, L, L, R, R	0	 at 	-0.098374455			PREZERO after 10 iterates
C, r, R, R, L, L, L, L, R, L	0	 at 	-0.098376339			PREZERO after 10 iterates
C, r, R, R, L, L, L, L, R, L		 at 	-0.098377124	
C, r, R, R, L, L, L, L, L, L		 at 	-0.098385445	
C, r, R, R, L, L, L, L, L, L	0	 at 	-0.098386073			PREZERO after 10 iterates
C, r, R, R, L, L, L, L, L, R	0	 at 	-0.098387329			PREZERO after 10 iterates
C, r, R, R, L, L, L, L, L, R		 at 	-0.098388114	
C, r, R, R, L, L, L, R, L, R		 at 	-0.098420299	
C, r, R, R, L, L, L, R, L, R	0	 at 	-0.098421398			PREZERO after 10 iterates
C, r, R, R, L, L, L, R, L, L	0	 at 	-0.098422968			PREZERO after 10 iterates
C, r, R, R, L, L, L, R, L, L		 at 	-0.098423753	
C, r, R, R, L, L, L, R, R, L		 at 	-0.098435999	
C, r, R, R, L, L, L, R, R, L	0	 at 	-0.098437255			PREZERO after 10 iterates
C, r, R, R, L, L, L, R, R, R	0	 at 	-0.098440395			PREZERO after 10 iterates
C, r, R, R, L, L, L, R, R, R		 at 	-0.098442593	
C, r, R, R, L, L, r, R, R, R		 at 	-0.098625184	
C, r, R, R, L, L, r, R, R, R	0	 at 	-0.098638372			PREZERO after 10 iterates
C, r, R, R, L, L, r, R, R, L	0	 at 	-0.098666318			PREZERO after 10 iterates
C, r, R, R, L, L, r, R, R, L		 at 	-0.098698974	
C, r, R, R, L, R, r, R, R, L		 at 	-0.098700387	
C, r, R, R, L, R, r, R, R, L	0	 at 	-0.098733357			PREZERO after 10 iterates
C, r, R, R, L, R, r, R, R, R	0	 at 	-0.098762245			PREZERO after 10 iterates
C, r, R, R, L, R, r, R, R, R		 at 	-0.098775904	
C, r, R, R, L, R, L, R, R, R		 at 	-0.098978434	
C, r, R, R, L, R, L, R, R, R	0	 at 	-0.098981103			PREZERO after 10 iterates
C, r, R, R, L, R, L, R, R, L	0	 at 	-0.098984871			PREZERO after 10 iterates
C, r, R, R, L, R, L, R, R, L		 at 	-0.098986284	
C, r, R, R, L, R, L, R, L, L		 at 	-0.099000885	
C, r, R, R, L, R, L, R, L, L	0	 at 	-0.099001827			PREZERO after 10 iterates
C, r, R, R, L, R, L, R, L, R	0	 at 	-0.099003868			PREZERO after 10 iterates
C, r, R, R, L, R, L, R, L, R		 at 	-0.099004967	
