-0.06324806 C, L  ->  C, r  at  -0.06324806 		PREZERO after 1 iterates
-0.13308166  C, r, L, L, F, L, L, r, L, r  ->  C, r, L, L, F, L, L, r, L, L  at  -0.13308166 		PREZERO after 9 iterates
-0.1330848 C, r, L, L, F, L, L  ->  C, r, L, L, F, L, F  at  -0.1330848 		Period 6 orbit
-0.13308794  C, r, L, L, F, L, F, r, L, L  ->  C, r, L, L, F, L, F, r, L, r  at  -0.13308794 		PREZERO after 9 iterates
-0.13309108 C, r, L, L, F, L, F, r, L  ->  C, r, L, L, F, L, F, r, F  at  -0.13309108 		Period 8 orbit
-0.13309422  C, r, L, L, F, L, F, r, F, r  ->  C, r, L, L, F, L, F, r, F, L  at  -0.13309422 		PREZERO after 9 iterates
-0.13309736  C, r, L, L, F, L, F, r, F, L  ->  C, r, L, L, F, L, F, r, F, F  at  -0.13309736 		Period 9 orbit
-0.1331005 	 C, r, L, L, F, L, F, r, F, F  ->  C, r, L, L, F, L, F, r, R, R  at  -0.1331005 		PREFIXED after 9 iterates
-0.1331005  C, r, L, L, F, L, F, r, F  ->  C, r, L, L, F, L, F, r, R  at  -0.1331005 		PREFIXED after 8 iterates
-0.13310364 C, r, L, L, F, L, F, r  ->  C, r, L, L, F, L, F, L  at  -0.13310364 		PREZERO after 7 iterates
-0.13310678  C, r, L, L, F, L, F, L, R, R  ->  C, r, L, L, F, L, F, L, F, r  at  -0.13310678 
-0.13310678 C, r, L, L, F, L, F, L, R  ->  C, r, L, L, F, L, F, L, F  at  -0.13310678 		PREFIXED after 8 iterates
-0.13310992  C, r, L, L, F, L, F, L, F, r  ->  C, r, L, L, F, L, F, L, r, R  at  -0.13310992 
-0.13310992 C, r, L, L, F, L, F, L, F  ->  C, r, L, L, F, L, F, L, r  at  -0.13310992 
-0.13311306  C, r, L, L, F, L, F, L, r, R  ->  C, r, L, L, F, L, F, L, r, L  at  -0.13311306 
-0.1331162  C, r, L, L, F, L, F, L  ->  C, r, L, L, F, L, F, F  at  -0.1331162 		Period 7 orbit
-0.13311934  C, r, L, L, F, L, F, F, r, L  ->  C, r, L, L, F, L, F, F, r, F  at  -0.13311934 		Period 9 orbit
-0.13312248 C, r, L, L, F, L, F, F, r  ->  C, r, L, L, F, L, F, F, L  at  -0.13312248 		PREZERO after 8 iterates
-0.13312562  C, r, L, L, F, L, F, F, L, F  ->  C, r, L, L, F, L, F, F, L, r  at  -0.13312562 
-0.13312876  C, r, L, L, F, L, F, F, L, r  ->  C, r, L, L, F, L, F, F, F, L  at  -0.13312876 		PREZERO after 9 iterates
-0.13312876 C, r, L, L, F, L, F, F, L  ->  C, r, L, L, F, L, F, F, F  at  -0.13312876 		Period 8 orbit
-0.1331319 	 C, r, L, L, F, L, F, F, F, L  ->  C, r, L, L, F, L, F, F, F, F  at  -0.1331319 		Period 9 orbit
-0.13313504  C, r, L, L, F, L, F, F, F, F  ->  C, r, L, L, F, L, R, R, R, R  at  -0.13313504 		PREFIXED after 9 iterates
-0.13313504 C, r, L, L, F, L, F  ->  C, r, L, L, F, L, R  at  -0.13313504 		PREFIXED after 6 iterates
-0.13313504 C, r, L, L, F, L, F, F  ->  C, r, L, L, F, L, R, R  at  -0.13313504 		PREFIXED after 7 iterates
-0.13313504 C, r, L, L, F, L, F, F, F  ->  C, r, L, L, F, L, R, R, R  at  -0.13313504 		PREFIXED after 8 iterates
-0.13319784 C, r, L, L, F, L  ->  C, r, L, L, F, r  at  -0.13319784 		PREZERO after 5 iterates
-0.13327948  C, r, L, L, F, r, R, R, R, R  ->  C, r, L, L, F, r, F, F, F, F  at  -0.13327948 		PREFIXED after 9 iterates
-0.13327948 C, r, L, L, F, r, R  ->  C, r, L, L, F, r, F  at  -0.13327948 		PREFIXED after 6 iterates
-0.13327948 C, r, L, L, F, r, R, R  ->  C, r, L, L, F, r, F, F  at  -0.13327948 		PREFIXED after 7 iterates
-0.13327948 C, r, L, L, F, r, R, R, R  ->  C, r, L, L, F, r, F, F, F  at  -0.13327948 		PREFIXED after 8 iterates
-0.13328576  C, r, L, L, F, r, F, F, F, F  ->  C, r, L, L, F, r, F, F, F, L  at  -0.13328576 		Period 9 orbit
-0.1332889 	 C, r, L, L, F, r, F, F, F, L  ->  C, r, L, L, F, r, F, F, F, r  at  -0.1332889 		PREZERO after 9 iterates
-0.13329518 C, r, L, L, F, r, F, F, F  ->  C, r, L, L, F, r, F, F, L  at  -0.13329518 		Period 8 orbit
-0.13329832  C, r, L, L, F, r, F, F, L, r  ->  C, r, L, L, F, r, F, F, L, F  at  -0.13329832 
-0.13330146  C, r, L, L, F, r, F, F, L, F  ->  C, r, L, L, F, r, F, F, r, R  at  -0.13330146 		PREFIXED after 9 iterates
-0.13330146 C, r, L, L, F, r, F, F, L  ->  C, r, L, L, F, r, F, F, r  at  -0.13330146 		PREZERO after 8 iterates
-0.1333046 	 C, r, L, L, F, r, F, F, r, R  ->  C, r, L, L, F, r, F, F, r, F  at  -0.1333046 		PREFIXED after 9 iterates
-0.13331088  C, r, L, L, F, r, F, F, r, F  ->  C, r, L, L, F, r, F, F, r, L  at  -0.13331088 		Period 9 orbit
-0.13331716 C, r, L, L, F, r, F, F  ->  C, r, L, L, F, r, F, L  at  -0.13331716 		Period 7 orbit
-0.1333203 	 C, r, L, L, F, r, F, L, r, L  ->  C, r, L, L, F, r, F, L, r, F  at  -0.1333203 		Period 9 orbit
-0.13332658  C, r, L, L, F, r, F, L, r, F  ->  C, r, L, L, F, r, F, L, L, R  at  -0.13332658 		PREFIXED after 9 iterates
-0.13332658 C, r, L, L, F, r, F, L, r  ->  C, r, L, L, F, r, F, L, L  at  -0.13332658 		PREZERO after 8 iterates
-0.13332972  C, r, L, L, F, r, F, L, L, R  ->  C, r, L, L, F, r, F, L, L, r  at  -0.13332972 
-0.13333286 C, r, L, L, F, r, F, L, L  ->  C, r, L, L, F, r, F, L, F  at  -0.13333286 		Period 8 orbit
-0.133336  C, r, L, L, F, r, F, L, F, r  ->  C, r, L, L, F, r, F, L, F, F  at  -0.133336 
-0.13333914  C, r, L, L, F, r, F, L, F, F  ->  C, r, L, L, F, r, F, L, R, R  at  -0.13333914 		PREFIXED after 9 iterates
-0.13333914 C, r, L, L, F, r, F, L, F  ->  C, r, L, L, F, r, F, L, R  at  -0.13333914 		PREFIXED after 8 iterates
-0.13334856 C, r, L, L, F, r, F, L  ->  C, r, L, L, F, r, F, r  at  -0.13334856 		PREZERO after 7 iterates
-0.13335798  C, r, L, L, F, r, F, r, R, R  ->  C, r, L, L, F, r, F, r, F, F  at  -0.13335798 		PREFIXED after 9 iterates
-0.13335798 C, r, L, L, F, r, F, r, R  ->  C, r, L, L, F, r, F, r, F  at  -0.13335798 		PREFIXED after 8 iterates
-0.13336426  C, r, L, L, F, r, F, r, F, F  ->  C, r, L, L, F, r, F, r, F, L  at  -0.13336426 		Period 9 orbit
-0.13337054  C, r, L, L, F, r, F, r, F, L  ->  C, r, L, L, F, r, F, r, F, r  at  -0.13337054 		PREZERO after 9 iterates
-0.13337996 C, r, L, L, F, r, F, r, F  ->  C, r, L, L, F, r, F, r, L  at  -0.13337996 		Period 8 orbit
-0.13339566  C, r, L, L, F, r, F, r, L, r  ->  C, r, L, L, F, r, F, r, L, L  at  -0.13339566 		PREZERO after 9 iterates
-0.13341136 C, r, L, L, F, r, F  ->  C, r, L, L, F, r, L  at  -0.13341136 		Period 6 orbit
-0.13342706  C, r, L, L, F, r, L, r, L, L  ->  C, r, L, L, F, r, L, r, L, r  at  -0.13342706 		PREZERO after 9 iterates
-0.13344904 C, r, L, L, F, r, L, r, L  ->  C, r, L, L, F, r, L, r, F  at  -0.13344904 		Period 8 orbit
-0.13346474  C, r, L, L, F, r, L, r, F, r  ->  C, r, L, L, F, r, L, r, F, L  at  -0.13346474 		PREZERO after 9 iterates
-0.13347102  C, r, L, L, F, r, L, r, F, L  ->  C, r, L, L, F, r, L, r, F, F  at  -0.13347102 		Period 9 orbit
-0.13348358  C, r, L, L, F, r, L, r, F, F  ->  C, r, L, L, F, r, L, r, R, R  at  -0.13348358 		PREFIXED after 9 iterates
-0.13348358 C, r, L, L, F, r, L, r, F  ->  C, r, L, L, F, r, L, r, R  at  -0.13348358 		PREFIXED after 8 iterates
-0.1335087  C, r, L, L, F, r, L, r  ->  C, r, L, L, F, r, L, L  at  -0.1335087 		PREZERO after 7 iterates
-0.13353382  C, r, L, L, F, r, L, L, R, R  ->  C, r, L, L, F, r, L, L, F, F  at  -0.13353382 		PREFIXED after 9 iterates
-0.13353382 C, r, L, L, F, r, L, L, R  ->  C, r, L, L, F, r, L, L, F  at  -0.13353382 		PREFIXED after 8 iterates
-0.13354638  C, r, L, L, F, r, L, L, F, F  ->  C, r, L, L, F, r, L, L, F, L  at  -0.13354638 		Period 9 orbit
-0.1335558 	 C, r, L, L, F, r, L, L, F, L  ->  C, r, L, L, F, r, L, L, F, r  at  -0.1335558 		PREZERO after 9 iterates
-0.13358406 C, r, L, L, F  ->  C, r, L, L, L  at  -0.13358406 		Period 4 orbit
-0.13358406 C, r, L, L, F, r, L, L, F  ->  C, r, L, L, L, r, L, L, L  at  -0.13358406 		Period 8 orbit
-0.1335872  C, r, L, L, L, r, L, L, L  ->  C, r, L, L, L, r, L, L, F  at  -0.1335872 		Period 8 orbit
-0.13361546  C, r, L, L, L, r, L, L, F, r  ->  C, r, L, L, L, r, L, L, F, L  at  -0.13361546 		PREZERO after 9 iterates
-0.13362488  C, r, L, L, L, r, L, L, F, L  ->  C, r, L, L, L, r, L, L, F, F  at  -0.13362488 		Period 9 orbit
-0.13363744  C, r, L, L, L, r, L, L, F, F  ->  C, r, L, L, L, r, L, L, R, R  at  -0.13363744 		PREFIXED after 9 iterates
-0.13363744 C, r, L, L, L, r, L, L, F  ->  C, r, L, L, L, r, L, L, R  at  -0.13363744 		PREFIXED after 8 iterates
-0.13365942 C, r, L, L, L, r, L, L  ->  C, r, L, L, L, r, L, r  at  -0.13365942 		PREZERO after 7 iterates
-0.13368454  C, r, L, L, L, r, L, r, R, R  ->  C, r, L, L, L, r, L, r, F, F  at  -0.13368454 		PREFIXED after 9 iterates
-0.13368454 C, r, L, L, L, r, L, r, R  ->  C, r, L, L, L, r, L, r, F  at  -0.13368454 		PREFIXED after 8 iterates
-0.13369396  C, r, L, L, L, r, L, r, F, F  ->  C, r, L, L, L, r, L, r, F, L  at  -0.13369396 		Period 9 orbit
-0.13370024  C, r, L, L, L, r, L, r, F, L  ->  C, r, L, L, L, r, L, r, F, r  at  -0.13370024 		PREZERO after 9 iterates
-0.1337128  C, r, L, L, L, r, L, r, F  ->  C, r, L, L, L, r, L, r, L  at  -0.1337128 		Period 8 orbit
-0.13373164  C, r, L, L, L, r, L, r, L, r  ->  C, r, L, L, L, r, L, r, L, L  at  -0.13373164 		PREZERO after 9 iterates
-0.13374734 C, r, L, L, L, r, L  ->  C, r, L, L, L, r, F  at  -0.13374734 		Period 6 orbit
-0.1337599 	 C, r, L, L, L, r, F, r, L, L  ->  C, r, L, L, L, r, F, r, L, r  at  -0.1337599 		PREZERO after 9 iterates
-0.1337756  C, r, L, L, L, r, F, r, L  ->  C, r, L, L, L, r, F, r, F  at  -0.1337756 		Period 8 orbit
-0.13378188  C, r, L, L, L, r, F, r, F, r  ->  C, r, L, L, L, r, F, r, F, L  at  -0.13378188 		PREZERO after 9 iterates
-0.13378502  C, r, L, L, L, r, F, r, F, L  ->  C, r, L, L, L, r, F, r, F, F  at  -0.13378502 		Period 9 orbit
-0.1337913 	 C, r, L, L, L, r, F, r, F, F  ->  C, r, L, L, L, r, F, r, R, R  at  -0.1337913 		PREFIXED after 9 iterates
-0.1337913  C, r, L, L, L, r, F, r, F  ->  C, r, L, L, L, r, F, r, R  at  -0.1337913 		PREFIXED after 8 iterates
-0.13380072 C, r, L, L, L, r, F, r  ->  C, r, L, L, L, r, F, L  at  -0.13380072 		PREZERO after 7 iterates
-0.133807  C, r, L, L, L, r, F, L, R  ->  C, r, L, L, L, r, F, L, F  at  -0.133807 		PREFIXED after 8 iterates
-0.133807  C, r, L, L, L, r, F, L, R, R  ->  C, r, L, L, L, r, F, L, F, L  at  -0.133807 
-0.13381014  C, r, L, L, L, r, F, L, F, L  ->  C, r, L, L, L, r, F, L, L, r  at  -0.13381014 		PREZERO after 9 iterates
-0.13381014 C, r, L, L, L, r, F, L, F  ->  C, r, L, L, L, r, F, L, L  at  -0.13381014 		Period 8 orbit
-0.13381328  C, r, L, L, L, r, F, L, L, r  ->  C, r, L, L, L, r, F, L, L, R  at  -0.13381328 
-0.13381642  C, r, L, L, L, r, F, L, L, R  ->  C, r, L, L, L, r, F, L, r, F  at  -0.13381642 		PREFIXED after 9 iterates
-0.13381642 C, r, L, L, L, r, F, L, L  ->  C, r, L, L, L, r, F, L, r  at  -0.13381642 		PREZERO after 8 iterates
-0.13381956  C, r, L, L, L, r, F, L, r, F  ->  C, r, L, L, L, r, F, L, r, L  at  -0.13381956 		Period 9 orbit
-0.1338227  C, r, L, L, L, r, F, L  ->  C, r, L, L, L, r, F, F  at  -0.1338227 		Period 7 orbit
-0.13382898  C, r, L, L, L, r, F, F, r, L  ->  C, r, L, L, L, r, F, F, r, F  at  -0.13382898 		Period 9 orbit
-0.13383212  C, r, L, L, L, r, F, F, r, F  ->  C, r, L, L, L, r, F, F, r, R  at  -0.13383212 		PREFIXED after 9 iterates
-0.13383526  C, r, L, L, L, r, F, F, r, R  ->  C, r, L, L, L, r, F, F, L, F  at  -0.13383526 		PREFIXED after 9 iterates
-0.13383526 C, r, L, L, L, r, F, F, r  ->  C, r, L, L, L, r, F, F, L  at  -0.13383526 		PREZERO after 8 iterates
-0.1338384  C, r, L, L, L, r, F, F, L, F  ->  C, r, L, L, L, r, F, F, L, r  at  -0.1338384 
-0.13384154 C, r, L, L, L, r, F, F, L  ->  C, r, L, L, L, r, F, F, F  at  -0.13384154 		Period 8 orbit
-0.13384468  C, r, L, L, L, r, F, F, F, r  ->  C, r, L, L, L, r, F, F, F, L  at  -0.13384468 		PREZERO after 9 iterates
-0.13384782  C, r, L, L, L, r, F, F, F, L  ->  C, r, L, L, L, r, F, F, F, F  at  -0.13384782 		Period 9 orbit
-0.13385096  C, r, L, L, L, r, F, F, F, F  ->  C, r, L, L, L, r, R, R, R, R  at  -0.13385096 		PREFIXED after 9 iterates
-0.13385096 C, r, L, L, L, r, F  ->  C, r, L, L, L, r, R  at  -0.13385096 		PREFIXED after 6 iterates
-0.13385096 C, r, L, L, L, r, F, F  ->  C, r, L, L, L, r, R, R  at  -0.13385096 		PREFIXED after 7 iterates
-0.13385096 C, r, L, L, L, r, F, F, F  ->  C, r, L, L, L, r, R, R, R  at  -0.13385096 		PREFIXED after 8 iterates
-0.13391376 C, r, L, L, L, r  ->  C, r, L, L, L, L  at  -0.13391376 		PREZERO after 5 iterates
-0.13395458  C, r, L, L, L, L, R, R, R, R  ->  C, r, L, L, L, L, F, F, F, F  at  -0.13395458 		PREFIXED after 9 iterates
-0.13395458 C, r, L, L, L, L, R  ->  C, r, L, L, L, L, F  at  -0.13395458 		PREFIXED after 6 iterates
-0.13395458 C, r, L, L, L, L, R, R  ->  C, r, L, L, L, L, F, F  at  -0.13395458 		PREFIXED after 7 iterates
-0.13395458 C, r, L, L, L, L, R, R, R  ->  C, r, L, L, L, L, F, F, F  at  -0.13395458 		PREFIXED after 8 iterates
-0.13395772  C, r, L, L, L, L, F, F, F, F  ->  C, r, L, L, L, L, F, F, F, r  at  -0.13395772 
-0.13396086  C, r, L, L, L, L, F, F, F, r  ->  C, r, L, L, L, L, F, F, L, F  at  -0.13396086 
-0.13396086 C, r, L, L, L, L, F, F, F  ->  C, r, L, L, L, L, F, F, L  at  -0.13396086 		Period 8 orbit
-0.133964 	 C, r, L, L, L, L, F, F, L, F  ->  C, r, L, L, L, L, F, F, r, L  at  -0.133964 		Period 9 orbit
-0.133964  C, r, L, L, L, L, F, F, L  ->  C, r, L, L, L, L, F, F, r  at  -0.133964 		PREZERO after 8 iterates
-0.13396714 C, r, L, L, L, L, F, F  ->  C, r, L, L, L, L, F, L  at  -0.13396714 		Period 7 orbit
-0.13397028  C, r, L, L, L, L, F, L, r, L  ->  C, r, L, L, L, L, F, L, L, r  at  -0.13397028 		PREZERO after 9 iterates
-0.13397028 C, r, L, L, L, L, F, L, r  ->  C, r, L, L, L, L, F, L, L  at  -0.13397028 		PREZERO after 8 iterates
-0.13397342  C, r, L, L, L, L, F, L, L, r  ->  C, r, L, L, L, L, F, L, R, R  at  -0.13397342 
-0.13397342 C, r, L, L, L, L, F, L, L  ->  C, r, L, L, L, L, F, L, R  at  -0.13397342 
-0.13397656 C, r, L, L, L, L, F, L  ->  C, r, L, L, L, L, F, r  at  -0.13397656 		PREZERO after 7 iterates
-0.1339797  C, r, L, L, L, L, F, r, R  ->  C, r, L, L, L, L, F, r, F  at  -0.1339797 		PREFIXED after 8 iterates
-0.1339797  C, r, L, L, L, L, F, r, R, R  ->  C, r, L, L, L, L, F, r, F, r  at  -0.1339797 
-0.13398284 C, r, L, L, L, L, F, r, F  ->  C, r, L, L, L, L, F, r, L  at  -0.13398284 		Period 8 orbit
-0.13398598  C, r, L, L, L, L, F, r, L, r  ->  C, r, L, L, L, L, F, r, L, L  at  -0.13398598 		PREZERO after 9 iterates
-0.13398912 C, r, L, L, L, L, F  ->  C, r, L, L, L, L, L  at  -0.13398912 		Period 6 orbit
-0.13399226  C, r, L, L, L, L, L, r, L, L  ->  C, r, L, L, L, L, L, r, F, r  at  -0.13399226 		PREZERO after 9 iterates
-0.13399226 C, r, L, L, L, L, L, r, L  ->  C, r, L, L, L, L, L, r, F  at  -0.13399226 		Period 8 orbit
-0.1339954  C, r, L, L, L, L, L, r, F, r  ->  C, r, L, L, L, L, L, r, F, F  at  -0.1339954 
-0.13399854  C, r, L, L, L, L, L, r, F, F  ->  C, r, L, L, L, L, L, L, R, R  at  -0.13399854 		PREFIXED after 9 iterates
-0.13399854 C, r, L, L, L, L, L, r  ->  C, r, L, L, L, L, L, L  at  -0.13399854 		PREZERO after 7 iterates
-0.13399854 C, r, L, L, L, L, L, r, F  ->  C, r, L, L, L, L, L, L, R  at  -0.13399854 		PREFIXED after 8 iterates
-0.13400168  C, r, L, L, L, L, L, L, R, R  ->  C, r, L, L, L, L, L, L, r, F  at  -0.13400168 		PREFIXED after 9 iterates
-0.13400168 C, r, L, L, L, L, L, L, R  ->  C, r, L, L, L, L, L, L, r  at  -0.13400168 
-0.13400482 C, r, L, L, L, L, L, L  ->  C, r, L, L, L, L, L, F  at  -0.13400482 		Period 7 orbit
-0.13400796  C, r, L, L, L, L, L, F, r, F  ->  C, r, L, L, L, L, L, F, F, L  at  -0.13400796 		Period 9 orbit
-0.13400796 C, r, L, L, L, L, L, F, r  ->  C, r, L, L, L, L, L, F, F  at  -0.13400796 
-0.1340111  C, r, L, L, L, L, L, F  ->  C, r, L, L, L, L, L, R  at  -0.1340111 		PREFIXED after 7 iterates
-0.1340111  C, r, L, L, L, L, L, F, F  ->  C, r, L, L, L, L, L, R, R  at  -0.1340111 		PREFIXED after 8 iterates
-0.1340111  C, r, L, L, L, L, L, F, F, L  ->  C, r, L, L, L, L, L, R, R, R  at  -0.1340111 
-0.13401738 C, r, L, L, L, L, L  ->  C, r, L, L, L, L, r  at  -0.13401738 		PREZERO after 6 iterates
-0.13402994  C, r, L, L, L, L, r, R, R, R  ->  C, r, L, L, L, L, r, F, F, L  at  -0.13402994 
-0.13402994 C, r, L, L, L, L, r, R  ->  C, r, L, L, L, L, r, F  at  -0.13402994 		PREFIXED after 7 iterates
-0.13402994 C, r, L, L, L, L, r, R, R  ->  C, r, L, L, L, L, r, F, F  at  -0.13402994 		PREFIXED after 8 iterates
-0.13403308  C, r, L, L, L, L, r, F, F, L  ->  C, r, L, L, L, L, r, F, L, r  at  -0.13403308 		PREZERO after 9 iterates
-0.13403308 C, r, L, L, L, L, r, F, F  ->  C, r, L, L, L, L, r, F, L  at  -0.13403308 		Period 8 orbit
-0.13403622  C, r, L, L, L, L, r, F, L, r  ->  C, r, L, L, L, L, r, F, L, R  at  -0.13403622 
-0.13403936  C, r, L, L, L, L, r, F, L, R  ->  C, r, L, L, L, L, r, F, r, F  at  -0.13403936 		PREFIXED after 9 iterates
-0.13403936 C, r, L, L, L, L, r, F, L  ->  C, r, L, L, L, L, r, F, r  at  -0.13403936 		PREZERO after 8 iterates
-0.1340425 	 C, r, L, L, L, L, r, F, r, F  ->  C, r, L, L, L, L, r, F, r, L  at  -0.1340425 		Period 9 orbit
-0.13404878 C, r, L, L, L, L, r, F  ->  C, r, L, L, L, L, r, L  at  -0.13404878 		Period 7 orbit
-0.13405506  C, r, L, L, L, L, r, L, r, L  ->  C, r, L, L, L, L, r, L, r, F  at  -0.13405506 		Period 9 orbit
-0.1340582 	 C, r, L, L, L, L, r, L, r, F  ->  C, r, L, L, L, L, r, L, r, R  at  -0.1340582 		PREFIXED after 9 iterates
-0.13406134 C, r, L, L, L, L, r, L, r  ->  C, r, L, L, L, L, r, L, L  at  -0.13406134 		PREZERO after 8 iterates
-0.13406762  C, r, L, L, L, L, r, L, L, R  ->  C, r, L, L, L, L, r, L, L, F  at  -0.13406762 		PREFIXED after 9 iterates
-0.13407076  C, r, L, L, L, L, r, L, L, F  ->  C, r, L, L, L, L, r, L, L, L  at  -0.13407076 		Period 9 orbit
-0.13407704 C, r, L, L, L, L  ->  C, r, L, L, L, F  at  -0.13407704 		Period 5 orbit
-0.13408332  C, r, L, L, L, F, r, L, L, L  ->  C, r, L, L, L, F, r, L, L, F  at  -0.13408332 		Period 9 orbit
-0.1340896 	 C, r, L, L, L, F, r, L, L, F  ->  C, r, L, L, L, F, r, L, L, R  at  -0.1340896 		PREFIXED after 9 iterates
-0.13409274 C, r, L, L, L, F, r, L, L  ->  C, r, L, L, L, F, r, L, r  at  -0.13409274 		PREZERO after 8 iterates
-0.13409588  C, r, L, L, L, F, r, L, r, R  ->  C, r, L, L, L, F, r, L, r, F  at  -0.13409588 		PREFIXED after 9 iterates
-0.13410216  C, r, L, L, L, F, r, L, r, F  ->  C, r, L, L, L, F, r, L, r, L  at  -0.13410216 		Period 9 orbit
-0.13410844 C, r, L, L, L, F, r, L  ->  C, r, L, L, L, F, r, F  at  -0.13410844 		Period 7 orbit
-0.13411472  C, r, L, L, L, F, r, F, r, L  ->  C, r, L, L, L, F, r, F, r, F  at  -0.13411472 		Period 9 orbit
-0.13411786  C, r, L, L, L, F, r, F, r, F  ->  C, r, L, L, L, F, r, F, r, R  at  -0.13411786 		PREFIXED after 9 iterates
-0.134121 	 C, r, L, L, L, F, r, F, r, R  ->  C, r, L, L, L, F, r, F, L, F  at  -0.134121 		PREFIXED after 9 iterates
-0.134121  C, r, L, L, L, F, r, F, r  ->  C, r, L, L, L, F, r, F, L  at  -0.134121 		PREZERO after 8 iterates
-0.13412414  C, r, L, L, L, F, r, F, L, F  ->  C, r, L, L, L, F, r, F, L, r  at  -0.13412414 
-0.13412728  C, r, L, L, L, F, r, F, L, r  ->  C, r, L, L, L, F, r, F, F, L  at  -0.13412728 		PREZERO after 9 iterates
-0.13412728 C, r, L, L, L, F, r, F, L  ->  C, r, L, L, L, F, r, F, F  at  -0.13412728 		Period 8 orbit
-0.13413042  C, r, L, L, L, F, r, F, F, L  ->  C, r, L, L, L, F, r, F, F, F  at  -0.13413042 		Period 9 orbit
-0.13413356  C, r, L, L, L, F, r, F, F, F  ->  C, r, L, L, L, F, r, R, R, R  at  -0.13413356 		PREFIXED after 9 iterates
-0.13413356 C, r, L, L, L, F, r, F  ->  C, r, L, L, L, F, r, R  at  -0.13413356 		PREFIXED after 7 iterates
-0.13413356 C, r, L, L, L, F, r, F, F  ->  C, r, L, L, L, F, r, R, R  at  -0.13413356 		PREFIXED after 8 iterates
-0.13414612 C, r, L, L, L, F, r  ->  C, r, L, L, L, F, L  at  -0.13414612 		PREZERO after 6 iterates
-0.13415868  C, r, L, L, L, F, L, R, R, R  ->  C, r, L, L, L, F, L, F, F, r  at  -0.13415868 
-0.13415868 C, r, L, L, L, F, L, R  ->  C, r, L, L, L, F, L, F  at  -0.13415868 		PREFIXED after 7 iterates
-0.13415868 C, r, L, L, L, F, L, R, R  ->  C, r, L, L, L, F, L, F, F  at  -0.13415868 		PREFIXED after 8 iterates
-0.13416182  C, r, L, L, L, F, L, F, F, r  ->  C, r, L, L, L, F, L, F, r, R  at  -0.13416182 
-0.13416182 C, r, L, L, L, F, L, F, F  ->  C, r, L, L, L, F, L, F, r  at  -0.13416182 
-0.13416496  C, r, L, L, L, F, L, F, r, R  ->  C, r, L, L, L, F, L, F, r, L  at  -0.13416496 
-0.1341681  C, r, L, L, L, F, L, F  ->  C, r, L, L, L, F, L, L  at  -0.1341681 		Period 7 orbit
-0.1341681  C, r, L, L, L, F, L, F, r  ->  C, r, L, L, L, F, L, L, L  at  -0.1341681 		PREZERO after 8 iterates
-0.1341681  C, r, L, L, L, F, L, F, r, L  ->  C, r, L, L, L, F, L, L, L, R  at  -0.1341681 
-0.13417124 C, r, L, L, L, F, L, L, L  ->  C, r, L, L, L, F, L, L, R  at  -0.13417124 
-0.13417438 C, r, L, L, L, F, L, L  ->  C, r, L, L, L, F, L, r  at  -0.13417438 		PREZERO after 7 iterates
-0.13417752  C, r, L, L, L, F, L, r, R, R  ->  C, r, L, L, L, F, L, r, F, F  at  -0.13417752 		PREFIXED after 9 iterates
-0.13417752 C, r, L, L, L, F, L, r, R  ->  C, r, L, L, L, F, L, r, F  at  -0.13417752 		PREFIXED after 8 iterates
-0.13418066  C, r, L, L, L, F, L, r, F, F  ->  C, r, L, L, L, F, L, r, F, r  at  -0.13418066 
-0.1341838  C, r, L, L, L, F, L, r, F  ->  C, r, L, L, L, F, L, r, L  at  -0.1341838 		Period 8 orbit
-0.13418694  C, r, L, L, L, F, L, r, L, r  ->  C, r, L, L, L, F, L, r, L, L  at  -0.13418694 		PREZERO after 9 iterates
-0.13419322 C, r, L, L, L, F, L  ->  C, r, L, L, L, F, F  at  -0.13419322 		Period 6 orbit
-0.13419636  C, r, L, L, L, F, F, r, L, L  ->  C, r, L, L, L, F, F, r, L, r  at  -0.13419636 		PREZERO after 9 iterates
-0.13420264 C, r, L, L, L, F, F, r, L  ->  C, r, L, L, L, F, F, r, F  at  -0.13420264 		Period 8 orbit
-0.13420578  C, r, L, L, L, F, F, r, F, r  ->  C, r, L, L, L, F, F, r, F, L  at  -0.13420578 		PREZERO after 9 iterates
-0.13420892  C, r, L, L, L, F, F, r, F, L  ->  C, r, L, L, L, F, F, r, R, R  at  -0.13420892 
-0.13420892 C, r, L, L, L, F, F, r, F  ->  C, r, L, L, L, F, F, r, R  at  -0.13420892 		PREFIXED after 8 iterates
-0.1342152  C, r, L, L, L, F, F, r  ->  C, r, L, L, L, F, F, L  at  -0.1342152 		PREZERO after 7 iterates
-0.13421834  C, r, L, L, L, F, F, L, R, R  ->  C, r, L, L, L, F, F, L, F, F  at  -0.13421834 		PREFIXED after 9 iterates
-0.13421834 C, r, L, L, L, F, F, L, R  ->  C, r, L, L, L, F, F, L, F  at  -0.13421834 		PREFIXED after 8 iterates
-0.13422148  C, r, L, L, L, F, F, L, F, F  ->  C, r, L, L, L, F, F, L, L, r  at  -0.13422148 
-0.13422148 C, r, L, L, L, F, F, L, F  ->  C, r, L, L, L, F, F, L, L  at  -0.13422148 		Period 8 orbit
-0.13422462  C, r, L, L, L, F, F, L, L, r  ->  C, r, L, L, L, F, F, L, r, R  at  -0.13422462 
-0.13422462 C, r, L, L, L, F, F, L, L  ->  C, r, L, L, L, F, F, L, r  at  -0.13422462 		PREZERO after 8 iterates
