-0.06324806 C, L  ->  C, r  at  -0.06324806 		PREZERO after 1 iterates
-0.0937092 	 C, r, F, F, F, F, L, F, L, R  ->  C, r, F, F, F, F, L, F, L, F  at  -0.0937092 		PREFIXED after 9 iterates
-0.09372176  C, r, F, F, F, F, L, F, L, F  ->  C, r, F, F, F, F, L, F, L, L  at  -0.09372176 		Period 9 orbit
-0.09373118  C, r, F, F, F, F, L, F, L, L  ->  C, r, F, F, F, F, L, F, L, r  at  -0.09373118 		PREZERO after 9 iterates
-0.09374374 C, r, F, F, F, F, L, F, L  ->  C, r, F, F, F, F, L, F, F  at  -0.09374374 		Period 8 orbit
-0.0937563 	 C, r, F, F, F, F, L, F, F, r  ->  C, r, F, F, F, F, L, F, F, L  at  -0.0937563 		PREZERO after 9 iterates
-0.09377514  C, r, F, F, F, F, L, F, F, L  ->  C, r, F, F, F, F, L, F, F, F  at  -0.09377514 		Period 9 orbit
-0.09379712  C, r, F, F, F, F, L, F, F, F  ->  C, r, F, F, F, F, L, R, R, R  at  -0.09379712 		PREFIXED after 9 iterates
-0.09379712 C, r, F, F, F, F, L, F  ->  C, r, F, F, F, F, L, R  at  -0.09379712 		PREFIXED after 7 iterates
-0.09379712 C, r, F, F, F, F, L, F, F  ->  C, r, F, F, F, F, L, R, R  at  -0.09379712 		PREFIXED after 8 iterates
-0.09397296 C, r, F, F, F, F, L  ->  C, r, F, F, F, F, r  at  -0.09397296 		PREZERO after 6 iterates
-0.09431208  C, r, F, F, F, F, r, R, R, R  ->  C, r, F, F, F, F, r, F, F, F  at  -0.09431208 		PREFIXED after 9 iterates
-0.09431208 C, r, F, F, F, F, r, R  ->  C, r, F, F, F, F, r, F  at  -0.09431208 		PREFIXED after 7 iterates
-0.09431208 C, r, F, F, F, F, r, R, R  ->  C, r, F, F, F, F, r, F, F  at  -0.09431208 		PREFIXED after 8 iterates
-0.09442512 C, r, F, F, F, F  ->  C, r, F, F, F, L  at  -0.09442512 		Period 5 orbit
-0.09453502  C, r, F, F, F, L, r, F, F, F  ->  C, r, F, F, F, L, r, R, R, R  at  -0.09453502 		PREFIXED after 9 iterates
-0.09453502 C, r, F, F, F, L, r, F  ->  C, r, F, F, F, L, r, R  at  -0.09453502 		PREFIXED after 7 iterates
-0.09453502 C, r, F, F, F, L, r, F, F  ->  C, r, F, F, F, L, r, R, R  at  -0.09453502 		PREFIXED after 8 iterates
-0.0948082 C, r, F, F, F, L, r  ->  C, r, F, F, F, L, L  at  -0.0948082 		PREZERO after 6 iterates
-0.09492124  C, r, F, F, F, L, L, R, R, R  ->  C, r, F, F, F, L, L, F, F, F  at  -0.09492124 		PREFIXED after 9 iterates
-0.09492124 C, r, F, F, F, L, L, R  ->  C, r, F, F, F, L, L, F  at  -0.09492124 		PREFIXED after 7 iterates
-0.09492124 C, r, F, F, F, L, L, R, R  ->  C, r, F, F, F, L, L, F, F  at  -0.09492124 		PREFIXED after 8 iterates
-0.09493694  C, r, F, F, F, L, L, F, F, F  ->  C, r, F, F, F, L, L, F, F, L  at  -0.09493694 		Period 9 orbit
-0.09494636  C, r, F, F, F, L, L, F, F, L  ->  C, r, F, F, F, L, L, F, F, r  at  -0.09494636 		PREZERO after 9 iterates
-0.09495578 C, r, F, F, F, L, L, F, F  ->  C, r, F, F, F, L, L, F, L  at  -0.09495578 		Period 8 orbit
-0.09496206  C, r, F, F, F, L, L, F, L, r  ->  C, r, F, F, F, L, L, F, L, L  at  -0.09496206 		PREZERO after 9 iterates
-0.09496834  C, r, F, F, F, L, L, F, L, L  ->  C, r, F, F, F, L, L, F, L, F  at  -0.09496834 		Period 9 orbit
-0.09497462  C, r, F, F, F, L, L, F, L, F  ->  C, r, F, F, F, L, L, F, L, R  at  -0.09497462 		PREFIXED after 9 iterates
-0.09498404 C, r, F, F, F, L, L, F, L  ->  C, r, F, F, F, L, L, F, r  at  -0.09498404 		PREZERO after 8 iterates
-0.09499974  C, r, F, F, F, L, L, F, r, R  ->  C, r, F, F, F, L, L, F, r, F  at  -0.09499974 		PREFIXED after 9 iterates
-0.09500602 C, r, F, F, F, L, L, F  ->  C, r, F, F, F, L, L, L  at  -0.09500602 		Period 7 orbit
-0.0950123 	 C, r, F, F, F, L, L, L, r, F  ->  C, r, F, F, F, L, L, L, r, R  at  -0.0950123 		PREFIXED after 9 iterates
-0.09502486 C, r, F, F, F, L, L, L, r  ->  C, r, F, F, F, L, L, L, L  at  -0.09502486 		PREZERO after 8 iterates
-0.09503114  C, r, F, F, F, L, L, L, L, R  ->  C, r, F, F, F, L, L, L, L, F  at  -0.09503114 		PREFIXED after 9 iterates
-0.09503742  C, r, F, F, F, L, L, L, L, F  ->  C, r, F, F, F, L, L, L, L, L  at  -0.09503742 		Period 9 orbit
-0.09504056  C, r, F, F, F, L, L, L, L, L  ->  C, r, F, F, F, L, L, L, L, r  at  -0.09504056 		PREZERO after 9 iterates
-0.09504684 C, r, F, F, F, L, L, L, L  ->  C, r, F, F, F, L, L, L, F  at  -0.09504684 		Period 8 orbit
-0.09505312  C, r, F, F, F, L, L, L, F, r  ->  C, r, F, F, F, L, L, L, F, L  at  -0.09505312 		PREZERO after 9 iterates
-0.0950594 	 C, r, F, F, F, L, L, L, F, L  ->  C, r, F, F, F, L, L, L, F, F  at  -0.0950594 		Period 9 orbit
-0.09506568  C, r, F, F, F, L, L, L, F, F  ->  C, r, F, F, F, L, L, L, R, R  at  -0.09506568 		PREFIXED after 9 iterates
-0.09506568 C, r, F, F, F, L, L, L, F  ->  C, r, F, F, F, L, L, L, R  at  -0.09506568 		PREFIXED after 8 iterates
-0.09509394 C, r, F, F, F, L, L, L  ->  C, r, F, F, F, L, L, r  at  -0.09509394 		PREZERO after 7 iterates
-0.09515046  C, r, F, F, F, L, L, r, R, R  ->  C, r, F, F, F, L, L, r, F, F  at  -0.09515046 		PREFIXED after 9 iterates
-0.09515046 C, r, F, F, F, L, L, r, R  ->  C, r, F, F, F, L, L, r, F  at  -0.09515046 		PREFIXED after 8 iterates
-0.09517558 C, r, F, F, F, L, L  ->  C, r, F, F, F, L, F  at  -0.09517558 		Period 6 orbit
-0.0952007 	 C, r, F, F, F, L, F, r, F, F  ->  C, r, F, F, F, L, F, r, R, R  at  -0.0952007 		PREFIXED after 9 iterates
-0.0952007  C, r, F, F, F, L, F, r, F  ->  C, r, F, F, F, L, F, r, R  at  -0.0952007 		PREFIXED after 8 iterates
-0.0952635  C, r, F, F, F, L, F, r  ->  C, r, F, F, F, L, F, L  at  -0.0952635 		PREZERO after 7 iterates
-0.09529176  C, r, F, F, F, L, F, L, R, R  ->  C, r, F, F, F, L, F, L, F, F  at  -0.09529176 		PREFIXED after 9 iterates
-0.09529176 C, r, F, F, F, L, F, L, R  ->  C, r, F, F, F, L, F, L, F  at  -0.09529176 		PREFIXED after 8 iterates
-0.09530118  C, r, F, F, F, L, F, L, F, F  ->  C, r, F, F, F, L, F, L, F, L  at  -0.09530118 		Period 9 orbit
-0.09530746  C, r, F, F, F, L, F, L, F, L  ->  C, r, F, F, F, L, F, L, F, r  at  -0.09530746 		PREZERO after 9 iterates
-0.09531374 C, r, F, F, F, L, F, L, F  ->  C, r, F, F, F, L, F, L, L  at  -0.09531374 		Period 8 orbit
-0.09532002  C, r, F, F, F, L, F, L, L, r  ->  C, r, F, F, F, L, F, L, L, L  at  -0.09532002 		PREZERO after 9 iterates
-0.0953263 	 C, r, F, F, F, L, F, L, L, L  ->  C, r, F, F, F, L, F, L, L, F  at  -0.0953263 		Period 9 orbit
-0.09533258  C, r, F, F, F, L, F, L, L, F  ->  C, r, F, F, F, L, F, L, L, R  at  -0.09533258 		PREFIXED after 9 iterates
-0.095342  C, r, F, F, F, L, F, L, L  ->  C, r, F, F, F, L, F, L, r  at  -0.095342 		PREZERO after 8 iterates
-0.0953577 	 C, r, F, F, F, L, F, L, r, R  ->  C, r, F, F, F, L, F, L, r, F  at  -0.0953577 		PREFIXED after 9 iterates
-0.09536712 C, r, F, F, F, L, F, L  ->  C, r, F, F, F, L, F, F  at  -0.09536712 		Period 7 orbit
-0.09537654  C, r, F, F, F, L, F, F, r, F  ->  C, r, F, F, F, L, F, F, r, R  at  -0.09537654 		PREFIXED after 9 iterates
-0.09539852 C, r, F, F, F, L, F, F, r  ->  C, r, F, F, F, L, F, F, L  at  -0.09539852 		PREZERO after 8 iterates
-0.09540794  C, r, F, F, F, L, F, F, L, R  ->  C, r, F, F, F, L, F, F, L, F  at  -0.09540794 		PREFIXED after 9 iterates
-0.09541736  C, r, F, F, F, L, F, F, L, F  ->  C, r, F, F, F, L, F, F, L, L  at  -0.09541736 		Period 9 orbit
-0.09542678  C, r, F, F, F, L, F, F, L, L  ->  C, r, F, F, F, L, F, F, L, r  at  -0.09542678 		PREZERO after 9 iterates
-0.0954362  C, r, F, F, F, L, F, F, L  ->  C, r, F, F, F, L, F, F, F  at  -0.0954362 		Period 8 orbit
-0.09544876  C, r, F, F, F, L, F, F, F, r  ->  C, r, F, F, F, L, F, F, F, L  at  -0.09544876 		PREZERO after 9 iterates
-0.09546446  C, r, F, F, F, L, F, F, F, L  ->  C, r, F, F, F, L, F, F, F, F  at  -0.09546446 		Period 9 orbit
-0.09548644  C, r, F, F, F, L, F, F, F, F  ->  C, r, F, F, F, L, R, R, R, R  at  -0.09548644 		PREFIXED after 9 iterates
-0.09548644 C, r, F, F, F, L, F  ->  C, r, F, F, F, L, R  at  -0.09548644 		PREFIXED after 6 iterates
-0.09548644 C, r, F, F, F, L, F, F  ->  C, r, F, F, F, L, R, R  at  -0.09548644 		PREFIXED after 7 iterates
-0.09548644 C, r, F, F, F, L, F, F, F  ->  C, r, F, F, F, L, R, R, R  at  -0.09548644 		PREFIXED after 8 iterates
-0.09587266 C, r, F, F, F, L  ->  C, r, F, F, F, r  at  -0.09587266 		PREZERO after 5 iterates
-0.09656346  C, r, F, F, F, r, R, R, R, R  ->  C, r, F, F, F, r, F, F, F, F  at  -0.09656346 		PREFIXED after 9 iterates
-0.09656346 C, r, F, F, F, r, R  ->  C, r, F, F, F, r, F  at  -0.09656346 		PREFIXED after 6 iterates
-0.09656346 C, r, F, F, F, r, R, R  ->  C, r, F, F, F, r, F, F  at  -0.09656346 		PREFIXED after 7 iterates
-0.09656346 C, r, F, F, F, r, R, R, R  ->  C, r, F, F, F, r, F, F, F  at  -0.09656346 		PREFIXED after 8 iterates
-0.09666394  C, r, F, F, F, r, F, F, F, F  ->  C, r, F, F, F, r, F, F, F, L  at  -0.09666394 		Period 9 orbit
-0.09676756  C, r, F, F, F, r, F, F, F, L  ->  C, r, F, F, F, r, F, F, F, r  at  -0.09676756 		PREZERO after 9 iterates
-0.0969434  C, r, F, F, F  ->  C, r, F, F, L  at  -0.0969434 		Period 4 orbit
-0.0969434  C, r, F, F, F, r, F, F, F  ->  C, r, F, F, L, r, F, F, L  at  -0.0969434 		Period 8 orbit
-0.09697794 C, r, F, F, L, r, F, F, L  ->  C, r, F, F, L, r, F, F, F  at  -0.09697794 		Period 8 orbit
-0.09715064  C, r, F, F, L, r, F, F, F, r  ->  C, r, F, F, L, r, F, F, F, L  at  -0.09715064 		PREZERO after 9 iterates
-0.09724484  C, r, F, F, L, r, F, F, F, L  ->  C, r, F, F, L, r, F, F, F, F  at  -0.09724484 		Period 9 orbit
-0.09733276  C, r, F, F, L, r, F, F, F, F  ->  C, r, F, F, L, r, R, R, R, R  at  -0.09733276 		PREFIXED after 9 iterates
-0.09733276 C, r, F, F, L, r, F  ->  C, r, F, F, L, r, R  at  -0.09733276 		PREFIXED after 6 iterates
-0.09733276 C, r, F, F, L, r, F, F  ->  C, r, F, F, L, r, R, R  at  -0.09733276 		PREFIXED after 7 iterates
-0.09733276 C, r, F, F, L, r, F, F, F  ->  C, r, F, F, L, r, R, R, R  at  -0.09733276 		PREFIXED after 8 iterates
-0.09787284 C, r, F, F, L, r  ->  C, r, F, F, L, L  at  -0.09787284 		PREZERO after 5 iterates
-0.09812718  C, r, F, F, L, L, R, R, R, R  ->  C, r, F, F, L, L, F, F, F, F  at  -0.09812718 		PREFIXED after 9 iterates
-0.09812718 C, r, F, F, L, L, R  ->  C, r, F, F, L, L, F  at  -0.09812718 		PREFIXED after 6 iterates
-0.09812718 C, r, F, F, L, L, R, R  ->  C, r, F, F, L, L, F, F  at  -0.09812718 		PREFIXED after 7 iterates
-0.09812718 C, r, F, F, L, L, R, R, R  ->  C, r, F, F, L, L, F, F, F  at  -0.09812718 		PREFIXED after 8 iterates
-0.09813974  C, r, F, F, L, L, F, F, F, F  ->  C, r, F, F, L, L, F, F, F, L  at  -0.09813974 		Period 9 orbit
-0.09814916  C, r, F, F, L, L, F, F, F, L  ->  C, r, F, F, L, L, F, F, F, r  at  -0.09814916 		PREZERO after 9 iterates
-0.09815858 C, r, F, F, L, L, F, F, F  ->  C, r, F, F, L, L, F, F, L  at  -0.09815858 		Period 8 orbit
-0.09816486  C, r, F, F, L, L, F, F, L, r  ->  C, r, F, F, L, L, F, F, L, L  at  -0.09816486 		PREZERO after 9 iterates
-0.09817114  C, r, F, F, L, L, F, F, L, L  ->  C, r, F, F, L, L, F, F, L, F  at  -0.09817114 		Period 9 orbit
-0.09817428  C, r, F, F, L, L, F, F, L, F  ->  C, r, F, F, L, L, F, F, L, R  at  -0.09817428 		PREFIXED after 9 iterates
-0.09818056 C, r, F, F, L, L, F, F, L  ->  C, r, F, F, L, L, F, F, r  at  -0.09818056 		PREZERO after 8 iterates
-0.09819312  C, r, F, F, L, L, F, F, r, R  ->  C, r, F, F, L, L, F, F, r, F  at  -0.09819312 		PREFIXED after 9 iterates
-0.0981994  C, r, F, F, L, L, F, F  ->  C, r, F, F, L, L, F, L  at  -0.0981994 		Period 7 orbit
-0.09820568  C, r, F, F, L, L, F, L, r, F  ->  C, r, F, F, L, L, F, L, r, R  at  -0.09820568 		PREFIXED after 9 iterates
-0.0982151  C, r, F, F, L, L, F, L, r  ->  C, r, F, F, L, L, F, L, L  at  -0.0982151 		PREZERO after 8 iterates
-0.09822138  C, r, F, F, L, L, F, L, L, R  ->  C, r, F, F, L, L, F, L, L, F  at  -0.09822138 		PREFIXED after 9 iterates
-0.09822452  C, r, F, F, L, L, F, L, L, F  ->  C, r, F, F, L, L, F, L, L, L  at  -0.09822452 		Period 9 orbit
-0.09822766  C, r, F, F, L, L, F, L, L, L  ->  C, r, F, F, L, L, F, L, L, r  at  -0.09822766 		PREZERO after 9 iterates
-0.0982308  C, r, F, F, L, L, F, L, L  ->  C, r, F, F, L, L, F, L, F  at  -0.0982308 		Period 8 orbit
-0.09823394  C, r, F, F, L, L, F, L, F, r  ->  C, r, F, F, L, L, F, L, F, L  at  -0.09823394 		PREZERO after 9 iterates
-0.09823708  C, r, F, F, L, L, F, L, F, L  ->  C, r, F, F, L, L, F, L, F, F  at  -0.09823708 		Period 9 orbit
-0.09824336  C, r, F, F, L, L, F, L, F, F  ->  C, r, F, F, L, L, F, L, R, R  at  -0.09824336 		PREFIXED after 9 iterates
-0.09824336 C, r, F, F, L, L, F, L, F  ->  C, r, F, F, L, L, F, L, R  at  -0.09824336 		PREFIXED after 8 iterates
-0.09825906 C, r, F, F, L, L, F, L  ->  C, r, F, F, L, L, F, r  at  -0.09825906 		PREZERO after 7 iterates
-0.09829046  C, r, F, F, L, L, F, r, R, R  ->  C, r, F, F, L, L, F, r, F, F  at  -0.09829046 		PREFIXED after 9 iterates
-0.09829046 C, r, F, F, L, L, F, r, R  ->  C, r, F, F, L, L, F, r, F  at  -0.09829046 		PREFIXED after 8 iterates
-0.09831244 C, r, F, F, L, L, F  ->  C, r, F, F, L, L, L  at  -0.09831244 		Period 6 orbit
-0.09833442  C, r, F, F, L, L, L, r, F, F  ->  C, r, F, F, L, L, L, r, R, R  at  -0.09833442 		PREFIXED after 9 iterates
-0.09833442 C, r, F, F, L, L, L, r, F  ->  C, r, F, F, L, L, L, r, R  at  -0.09833442 		PREFIXED after 8 iterates
-0.09835954 C, r, F, F, L, L, L, r  ->  C, r, F, F, L, L, L, L  at  -0.09835954 		PREZERO after 7 iterates
-0.0983721 	 C, r, F, F, L, L, L, L, R, R  ->  C, r, F, F, L, L, L, L, F, F  at  -0.0983721 		PREFIXED after 9 iterates
-0.0983721  C, r, F, F, L, L, L, L, R  ->  C, r, F, F, L, L, L, L, F  at  -0.0983721 		PREFIXED after 8 iterates
-0.09837838  C, r, F, F, L, L, L, L, F, F  ->  C, r, F, F, L, L, L, L, F, L  at  -0.09837838 		Period 9 orbit
-0.09838152  C, r, F, F, L, L, L, L, F, L  ->  C, r, F, F, L, L, L, L, L, r  at  -0.09838152 		PREZERO after 9 iterates
-0.09838152 C, r, F, F, L, L, L, L, F  ->  C, r, F, F, L, L, L, L, L  at  -0.09838152 		Period 8 orbit
-0.09838466  C, r, F, F, L, L, L, L, L, r  ->  C, r, F, F, L, L, L, L, L, L  at  -0.09838466 		PREZERO after 9 iterates
-0.0983878 	 C, r, F, F, L, L, L, L, L, L  ->  C, r, F, F, L, L, L, L, L, F  at  -0.0983878 		Period 9 orbit
-0.09839094  C, r, F, F, L, L, L, L, L, F  ->  C, r, F, F, L, L, L, L, L, R  at  -0.09839094 		PREFIXED after 9 iterates
-0.09839408 C, r, F, F, L, L, L, L, L  ->  C, r, F, F, L, L, L, L, r  at  -0.09839408 		PREZERO after 8 iterates
-0.09840036  C, r, F, F, L, L, L, L, r, R  ->  C, r, F, F, L, L, L, L, r, F  at  -0.09840036 		PREFIXED after 9 iterates
-0.0984035  C, r, F, F, L, L, L, L  ->  C, r, F, F, L, L, L, F  at  -0.0984035 		Period 7 orbit
-0.09840978  C, r, F, F, L, L, L, F, r, F  ->  C, r, F, F, L, L, L, F, r, R  at  -0.09840978 		PREFIXED after 9 iterates
-0.09841606 C, r, F, F, L, L, L, F, r  ->  C, r, F, F, L, L, L, F, L  at  -0.09841606 		PREZERO after 8 iterates
-0.0984192 	 C, r, F, F, L, L, L, F, L, R  ->  C, r, F, F, L, L, L, F, L, F  at  -0.0984192 		PREFIXED after 9 iterates
-0.09842234  C, r, F, F, L, L, L, F, L, F  ->  C, r, F, F, L, L, L, F, L, L  at  -0.09842234 		Period 9 orbit
-0.09842548  C, r, F, F, L, L, L, F, L, L  ->  C, r, F, F, L, L, L, F, L, r  at  -0.09842548 		PREZERO after 9 iterates
-0.09843176 C, r, F, F, L, L, L, F, L  ->  C, r, F, F, L, L, L, F, F  at  -0.09843176 		Period 8 orbit
-0.0984349 	 C, r, F, F, L, L, L, F, F, r  ->  C, r, F, F, L, L, L, F, F, L  at  -0.0984349 		PREZERO after 9 iterates
-0.09844118  C, r, F, F, L, L, L, F, F, L  ->  C, r, F, F, L, L, L, F, F, F  at  -0.09844118 		Period 9 orbit
-0.09844746  C, r, F, F, L, L, L, F, F, F  ->  C, r, F, F, L, L, L, R, R, R  at  -0.09844746 		PREFIXED after 9 iterates
-0.09844746 C, r, F, F, L, L, L, F  ->  C, r, F, F, L, L, L, R  at  -0.09844746 		PREFIXED after 7 iterates
-0.09844746 C, r, F, F, L, L, L, F, F  ->  C, r, F, F, L, L, L, R, R  at  -0.09844746 		PREFIXED after 8 iterates
-0.09850398 C, r, F, F, L, L, L  ->  C, r, F, F, L, L, r  at  -0.09850398 		PREZERO after 6 iterates
-0.09861074  C, r, F, F, L, L, r, R, R, R  ->  C, r, F, F, L, L, r, F, F, F  at  -0.09861074 		PREFIXED after 9 iterates
-0.09861074 C, r, F, F, L, L, r, R  ->  C, r, F, F, L, L, r, F  at  -0.09861074 		PREFIXED after 7 iterates
-0.09861074 C, r, F, F, L, L, r, R, R  ->  C, r, F, F, L, L, r, F, F  at  -0.09861074 		PREFIXED after 8 iterates
-0.09865156  C, r, F, F, L, L, r, F, F, F  ->  C, r, F, F, L, L, r, F, F, L  at  -0.09865156 		Period 9 orbit
-0.0987018  C, r, F, F, L, L  ->  C, r, F, F, L, F  at  -0.0987018 		Period 5 orbit
-0.0987489 	 C, r, F, F, L, F, r, F, F, L  ->  C, r, F, F, L, F, r, F, F, F  at  -0.0987489 		Period 9 orbit
-0.09879286  C, r, F, F, L, F, r, F, F, F  ->  C, r, F, F, L, F, r, R, R, R  at  -0.09879286 		PREFIXED after 9 iterates
-0.09879286 C, r, F, F, L, F, r, F  ->  C, r, F, F, L, F, r, R  at  -0.09879286 		PREFIXED after 7 iterates
-0.09879286 C, r, F, F, L, F, r, F, F  ->  C, r, F, F, L, F, r, R, R  at  -0.09879286 		PREFIXED after 8 iterates
-0.09891218 C, r, F, F, L, F, r  ->  C, r, F, F, L, F, L  at  -0.09891218 		PREZERO after 6 iterates
-0.09897498  C, r, F, F, L, F, L, R, R, R  ->  C, r, F, F, L, F, L, F, F, F  at  -0.09897498 		PREFIXED after 9 iterates
-0.09897498 C, r, F, F, L, F, L, R  ->  C, r, F, F, L, F, L, F  at  -0.09897498 		PREFIXED after 7 iterates
-0.09897498 C, r, F, F, L, F, L, R, R  ->  C, r, F, F, L, F, L, F, F  at  -0.09897498 		PREFIXED after 8 iterates
-0.0989844 	 C, r, F, F, L, F, L, F, F, F  ->  C, r, F, F, L, F, L, F, F, L  at  -0.0989844 		Period 9 orbit
-0.09899068  C, r, F, F, L, F, L, F, F, L  ->  C, r, F, F, L, F, L, F, F, r  at  -0.09899068 		PREZERO after 9 iterates
