C, r, R, R, R, R, R, R, L, R, R, R, R, L, R, R, R		 at 	-0.092697021	
C, r, R, R, R, R, R, R, L, R, R, R, R, L, R, L, R		 at 	-0.092697178	
C, r, R, R, R, R, R, R, r, R, R, R, R, R, R, R, R		 at 	-0.092815713	
C, r, R, R, R, R, R, R, r, R, R, R, R, R, R, R, R	0	 at 	-0.092816027			PREZERO after 17 iterates
C, r, R, R, R, R, R, R, r, R, R, R, R, R, R, R, L	0	 at 	-0.092816498			PREZERO after 17 iterates
C, r, R, R, R, R, R, R, r, R, R, R, R, R, R, R, L		 at 	-0.092816812	
C, r, R, R, R, R, R, R, r, R, R, R, R, R, R, L, L		 at 	-0.09281901	
C, r, R, R, R, R, R, R, r, R, R, R, R, R, R, L, L	0	 at 	-0.092819167			PREZERO after 17 iterates
C, r, R, R, R, R, R, R, r, R, R, R, R, R, R, L, R	0	 at 	-0.092819481			PREZERO after 17 iterates
C, r, R, R, R, R, R, R, r, R, R, R, R, R, R, L, R		 at 	-0.092819638	
C, r, R, R, R, R, R, L, r, R, R, R, R, R, R, L, R		 at 	-0.09283157	
C, r, R, R, R, R, R, L, r, R, R, R, R, R, R, L, R	0	 at 	-0.092831884			PREZERO after 17 iterates
C, r, R, R, R, R, R, L, r, R, R, R, R, R, R, L, L	0	 at 	-0.092832198			PREZERO after 17 iterates
C, r, R, R, R, R, R, L, r, R, R, R, R, R, R, L, L		 at 	-0.092832355	
C, r, R, R, R, R, R, L, r, R, R, R, R, R, R, R, L		 at 	-0.092834396	
C, r, R, R, R, R, R, L, r, R, R, R, R, R, R, R, L	0	 at 	-0.092834553			PREZERO after 17 iterates
C, r, R, R, R, R, R, L, r, R, R, R, R, R, R, R, R	0	 at 	-0.092835024			PREZERO after 17 iterates
C, r, R, R, R, R, R, L, r, R, R, R, R, R, R, R, R		 at 	-0.092835495	
C, r, R, R, R, R, R, L, L, R, R, R, L, R, r, R, R		 at 	-0.092927811	
C, r, R, R, R, R, R, L, L, R, R, R, L, R, R, R, R		 at 	-0.092927968	
C, r, R, R, R, R, R, L, L, R, R, r, R, R, R, R, R		 at 	-0.092932678	
C, r, R, R, R, R, R, L, L, R, L, r, R, R, R, R, R		 at 	-0.092932835	
C, r, R, R, R, R, R, L, L, R, r, R, R, R, R, R, R		 at 	-0.092942569	
C, r, R, R, R, R, R, L, L, R, r, R, R, R, R, R, R	0	 at 	-0.092942726			PREZERO after 17 iterates
C, r, R, R, R, R, R, L, L, R, r, R, R, R, R, R, L	0	 at 	-0.09294304			PREZERO after 17 iterates
C, r, R, R, R, R, R, L, L, L, r, R, R, R, R, R, L	0	 at 	-0.092943354			PREZERO after 17 iterates
C, r, R, R, R, R, R, L, L, L, r, R, R, R, R, R, R	0	 at 	-0.092943511			PREZERO after 17 iterates
C, r, R, R, R, R, R, L, L, L, r, R, R, R, R, R, R		 at 	-0.092943668	
C, r, R, R, R, R, R, L, L, r, R, R, R, R, R, R, R		 at 	-0.092975696	
C, r, R, R, R, R, R, L, L, r, R, R, R, R, R, R, R	0	 at 	-0.092975853			PREZERO after 17 iterates
C, r, R, R, R, R, R, L, L, r, R, R, R, R, R, R, L		 at 	-0.092976167	
C, r, R, R, R, R, R, L, L, r, R, R, R, R, R, L, L		 at 	-0.092977423	
C, r, R, R, R, R, R, L, L, r, R, R, R, R, R, L, L	0	 at 	-0.09297758			PREZERO after 17 iterates
C, r, R, R, R, R, R, L, R, r, R, R, R, R, R, L, L	0	 at 	-0.092978365			PREZERO after 17 iterates
C, r, R, R, R, R, R, L, R, r, R, R, R, R, R, L, L		 at 	-0.092978679	
