C, r, R, R, R, R, R, L, r, R, R, R, R, R, R, R, R, R, L		 at 	-0.092835652	
C, r, R, R, R, R, R, L, r, R, R, R, R, R, R, R, R, R, L		 at 	-0.092835809	
C, r, R, R, R, R, R, L, L, R, R, R, r, R, R, R, R, R, R		 at 	-0.092928753	
C, r, R, R, R, R, R, L, L, R, R, R, r, R, R, R, R, R, L		 at 	-0.09292891	
C, r, R, R, R, R, R, L, L, R, L, r, R, R, R, R, R, L, L		 at 	-0.092932835	
C, r, R, R, R, R, R, L, L, R, L, r, R, R, R, R, R, R, L		 at 	-0.092932992	
C, r, R, R, R, R, R, L, L, R, r, R, R, R, R, R, L, r, R		 at 	-0.09294304	
C, r, R, R, R, R, R, L, L, R, r, R, R, R, R, R, L, L, R		 at 	-0.092943197	
C, r, R, R, R, R, R, L, L, L, r, R, R, R, R, R, R, r, R		 at 	-0.092943511	
C, r, R, R, R, R, R, L, L, L, r, R, R, R, R, R, R, L, L		 at 	-0.092943668	
C, r, R, R, R, R, R, L, L, L, L, R, r, R, R, R, R, R, R		 at 	-0.092949634	
C, r, R, R, R, R, R, L, L, L, L, L, r, R, R, R, R, R, L		 at 	-0.092949791	
C, r, R, R, R, R, R, L, L, L, R, L, R, L, L, R, R, R, R		 at 	-0.092953559	
C, r, R, R, R, R, R, L, L, L, R, L, R, r, R, R, R, R, R		 at 	-0.092953716	
C, r, R, R, R, R, R, L, L, r, R, R, R, R, R, R, R, R, R		 at 	-0.092975539	
C, r, R, R, R, R, R, L, L, r, R, R, R, R, R, R, R, R, R		 at 	-0.092975696	
C, r, R, R, R, R, R, L, L, r, R, R, R, R, R, R, L, r, R		 at 	-0.092976167	
C, r, R, R, R, R, R, L, L, r, R, R, R, R, R, R, L, R, R		 at 	-0.092976324	
C, r, R, R, R, R, R, L, L, r, R, R, R, R, R, L, L, R, L		 at 	-0.092977423	
C, r, R, R, R, R, R, L, L, r, R, R, R, R, R, L, L, L, R		 at 	-0.09297758	
C, r, R, R, R, R, R, L, R, L, R, R, R, r, R, R, R, R, R		 at 	-0.093002386	
C, r, R, R, R, R, R, L, R, L, R, R, R, r, R, R, R, R, R		 at 	-0.093002543	
C, r, R, R, R, R, R, L, R, L, R, r, R, R, R, R, R, R, r		 at 	-0.093006468	
C, r, R, R, R, R, R, L, R, L, L, r, R, R, R, R, R, L, R		 at 	-0.093006625	
C, r, R, R, R, R, R, L, R, L, L, L, r, R, R, R, R, R, R		 at 	-0.09300898	
C, r, R, R, R, R, R, L, R, L, L, L, r, R, R, R, R, R, L		 at 	-0.093009137	
C, r, R, R, R, R, R, L, R, L, r, R, R, R, R, R, L, L, r		 at 	-0.093017144	
C, r, R, R, R, R, R, L, R, L, r, R, R, R, R, R, L, R, L	0	 at 	-0.093017301			PREZERO after 19 iterates
C, r, R, R, R, R, R, L, R, R, r, R, R, R, R, R, L, R, L		 at 	-0.093017458	
C, r, R, R, R, R, R, L, R, R, L, R, R, R, R, R, R, L, R		 at 	-0.093025622	
C, r, R, R, R, R, R, L, R, R, L, R, R, R, L, L, L, R, L		 at 	-0.093025779	
C, r, R, R, R, R, R, L, R, R, L, R, r, R, R, R, R, R, R		 at 	-0.093027192	
C, r, R, R, R, R, R, L, R, R, L, R, r, R, R, R, R, R, R		 at 	-0.093027349	
C, r, R, R, R, R, R, L, R, R, L, r, R, R, R, R, R, R, R		 at 	-0.093031117	
C, r, R, R, R, R, R, L, R, R, L, r, R, R, R, R, R, R, R		 at 	-0.093031274	
C, r, R, R, R, R, R, L, R, R, R, L, R, R, r, R, R, R, R		 at 	-0.093035199	
C, r, R, R, R, R, R, L, R, R, R, L, R, L, R, L, L, L, R		 at 	-0.093035356	
C, r, R, R, R, R, R, L, R, R, R, L, R, r, R, R, R, R, R		 at 	-0.093035513	
C, r, R, R, R, R, R, L, R, R, R, L, L, r, R, R, R, R, R		 at 	-0.09303567	
C, r, R, R, R, R, R, L, R, R, R, L, r, R, R, R, R, R, L		 at 	-0.093037397	
C, r, R, R, R, R, R, L, R, R, R, R, r, R, R, R, R, R, R		 at 	-0.093037554	
C, r, R, R, R, R, R, L, R, R, R, R, R, R, r, R, R, R, R		 at 	-0.093041322	
C, r, R, R, R, R, R, L, R, R, R, R, R, R, L, R, R, L, R		 at 	-0.093041479	
C, r, R, R, R, R, R, r, R, R, R, R, R, R, R, R, R, R, R		 at 	-0.093287812	
C, r, R, R, R, R, R, r, R, R, R, R, R, R, R, R, R, R, L		 at 	-0.093287969	
C, r, R, R, R, R, R, r, R, R, R, R, R, R, R, R, R, R, r		 at 	-0.093288126	
C, r, R, R, R, R, R, r, R, R, R, R, R, R, R, R, R, L, R		 at 	-0.093288283	
C, r, R, R, R, R, R, r, R, R, R, R, R, R, L, R, R, L, R		 at 	-0.093293621	
C, r, R, R, R, R, R, r, R, R, R, R, R, R, L, R, R, R, R		 at 	-0.093293778	
C, r, R, R, R, R, R, r, R, R, R, R, R, L, L, R, R, r, R		 at 	-0.093299744	
C, r, R, R, R, R, R, r, R, R, R, R, R, L, L, R, L, R, R		 at 	-0.093299901	
C, r, R, R, R, R, R, r, R, R, R, R, R, L, R, R, L, R, R		 at 	-0.09330257	
C, r, R, R, R, R, R, r, R, R, R, R, R, L, R, R, L, L, R		 at 	-0.093302727	
C, r, R, R, R, R, R, r, R, R, R, R, R, r, R, R, R, R, R		 at 	-0.093316386	
C, r, R, R, R, R, R, r, R, R, R, R, R, r, R, R, R, R, R	0	 at 	-0.093317485			PREZERO after 19 iterates
C, r, R, R, R, R, L, r, R, R, R, R, R, r, R, R, R, R, R	0	 at 	-0.093326434			PREZERO after 19 iterates
C, r, R, R, R, R, L, r, R, R, R, R, R, r, R, R, R, R, R		 at 	-0.09332769	
C, r, R, R, R, R, L, r, R, R, R, R, R, L, R, R, R, r, R		 at 	-0.093340878	
C, r, R, R, R, R, L, r, R, R, R, R, R, L, R, R, L, L, L		 at 	-0.093341035	
C, r, R, R, R, R, L, r, R, R, R, R, R, L, L, R, R, r, R		 at 	-0.093343861	
C, r, R, R, R, R, L, r, R, R, R, R, R, L, L, R, R, R, R		 at 	-0.093344018	
C, r, R, R, R, R, L, r, R, R, R, R, R, L, r, R, R, R, R		 at 	-0.09334653	
C, r, R, R, R, R, L, r, R, R, R, R, R, R, r, R, R, R, R		 at 	-0.093346687	
C, r, R, R, R, R, L, r, R, R, R, R, R, R, R, L, R, R, R		 at 	-0.093352653	
C, r, R, R, R, R, L, r, R, R, R, R, R, R, R, L, R, R, L		 at 	-0.09335281	
C, r, R, R, R, R, L, L, R, R, R, R, r, R, R, R, R, R, R		 at 	-0.093545292	
C, r, R, R, R, R, L, L, R, R, R, R, r, R, R, R, R, R, R		 at 	-0.093545449	
